Confidence,BusName (SSWG),Data Center Name,Online Date,BusID (SSWG),DAM Bus Name,kV,Crypto/Non-Crypto,Dispatchable,Max MW,Expected MW,DAM MW,NewLoad,Dispatchable_Derate,LoadID,NmmsStationCode,NmmsStationName,NmmsWeatherZone,busNum,busName,OldLoad,PrimaryLoadLabel,PrimaryLoadID
1.0,FRSTHIL1_8,5CDCDallasDFW01,2024-01-01,11967,FHLSW,138.0,Non-Crypto,NO,144.0,0.0,48.0,0.0,1.0,D1,FSTHL,FOREST HILL SUB,WZ_NORTH_CENTRAL,11967.0,FRSTHIL1_8  ,48.0,FSTHL_LDLXFMR3,99
1.0,WHINSTNE_8,RiotRockdaleTX,2026-07-01,13430,SNDSW,138.0,Crypto,YES,700.0,0.0,675.0,0.0,0.5,D1,LANHAM,LANHAM,WZ_NORTH,13430.0,LANHAM      ,675.0,SNDSW_LDXFMR2,1 
1.0,PARKVISTA1_8,FacebookFortWorth,2028-01-01,15100,PVPOI,138.0,Non-Crypto,NO,300.0,240.0,60.0,192.0,1.0,D1,PVPOI,PARK VISTA POI,WZ_NORTH_CENTRAL,15100.0,PARKVISTA1_8,60.0,PVPOI_LDXFMRA,1 
1.0,PARKVISTA2_8 ,FacebookFortWorth,2027-01-01,15101,PVPOI,138.0,Non-Crypto,NO,300.0,240.0,60.0,192.0,1.0,D1,PVPOI,PARK VISTA POI,WZ_NORTH_CENTRAL,15101.0,PARKVISTA2_8,60.0,PVPOI_LDXFMRB,1 
2.0,RACEWAY_P8 ,TexasCriticalTexas,2026-07-01,18663,RWYSW,,Crypto,YES,250.0,100.0,0.0,80.0,0.5,D1,RWYSW,RACEWAY SWITCH,WZ_FAR_WEST,18663.0,RACEWAY_P8,0.0,RWYSW_XFMR1,1 
1.0,WHITEDUNE_P8,CipherMiningBlackPearl,2027-07-01,18692,WDPOD,138.0,Crypto and AI,YES,350.0,200.0,150.0,160.0,0.5,D1,WDPOD,WHITE DUNE POD,WZ_FAR_WEST,18692.0,WHITEDUNE_P8,150.0,WDPOD_XFMR1,1 
1.0,TNCOTTNWD_1,CoreScientificPecosTX,2022-01-01,38097,COTTNWD,138.0,Crypto,YES,200.0,0.0,150.0,0.0,0.5,D1,BCCASTLE,CASTLE BITCOIN TNP,WZ_FAR_WEST,38097.0,TNBCCASTLE1 ,150.0,BCCASTLE_BCCASL_1,1 
1.0,TNBCTRESTL1,IonicDigitalBarstow,2027-07-01,38146,TNBCTRESTL1,138.0,Non-Crypto,NO,234.0,0.0,0.0,0.0,1.0,D1,BCTRESTL,TRESTLE BITCOIN TNP,WZ_FAR_WEST,38146.0,TNBCTRESTL1 ,0.0,BCTRESTL_BCTRESL_1,1 
1.0,TNBCGWRWNK1,GDAPyoteTX,2027-01-01,38191,BCGENWRW,138.0,Crypto,YES,370.0,200.0,160.0,160.0,0.5,D1,BCGENWRW,GENESIS WARWINK BITCOIN TNP,WZ_FAR_WEST,38191.0,TNBCGWRWNK1 ,160.0,BCGENWRW_BCGWRW_1,1 
1.0,TNBCLNCIUM1,LanciumFortStockton,2023-01-01,38341,BCLNCIUM,138.0,Non-Crypto,NO,325.0,325.0,0.0,260.0,1.0,D1,BCLNCIUM,LANCIUM BITCOIN TNP,WZ_FAR_WEST,38341.0,TNBCLNCIUM1 ,0.0,BCLNCIUM_BCLNCM_1,1 
