code,elem,cont,hot_days_seen,total_hours,worst_shadow,days
1035__A,MCLSW:138KV-WCOLO:138KV,DELMWWE8,1,3,211.59324645996094,Wed 07-08
651__B,CMNSW:138KV-CMNTP:138KV,DMBDRKC5,1,4,119.4257583618164,Mon 07-06
505__B,FBRSW:345KV-THSES:345KV,MBULNAV5,1,4,114.99630737304688,Wed 07-01
651__B,CMNSW:138KV-CMNTP:138KV,SCMNCPS5,1,9,108.45370483398438,Wed 07-01
PALOUS_WOLFCA1_1,PALOUSE:138KV-WOLFCAMP:138KV,SKINODE5,1,4,104.14219665527344,Tue 07-07
CROSSO_NORTMC1_1,NORTMC:138KV-CROSSOVE:138KV,DBIGKEN5,1,2,63.665706634521484,Wed 07-08
6375__A,GRSES:138KV-GRMES:138KV,DLONPK25,1,7,49.071876525878906,Wed 07-01
35045__A,SAMSW:345KV-FVLSW:345KV,SHELBUL5,1,3,48.49840545654297,Wed 07-01
1561__A,DPREA:138KV-RCSES:138KV,SWDDMNS5,1,6,47.82122039794922,Fri 07-03
235__A,SGRSW:345KV-JEWET:345KV,SHELBUL5,1,3,39.46086883544922,Wed 07-01
RAYBURN_69_2,RAYBURN:138KV-RAYBURN:69KV,SFURVAN8,1,2,29.2884464263916,Mon 07-06
1210__B,HUBRD:138KV-HAN1:138KV,SBLAWDB8,1,3,23.765621185302734,Wed 07-01
6240__C,SACRC:138KV-DPCRK:138KV,SSUNRGR8,1,4,17.52835464477539,Sun 07-05
LAKENA_SAMATH1_1,LAKENASW:69KV-SAMATHIS:69KV,SBGLTWI8,1,2,14.09398365020752,Sun 07-05
505__B,FBRSW:345KV-THSES:345KV,SSAMTCR5,1,1,10.147449493408203,Wed 07-01
HEXT_YELWJC1_1,YELWJCKT:69KV-HEXT:69KV,SJUNYEL9,1,9,8.960735321044922,Fri 07-03
6965__A,LNGSW:345KV-PRLSW:345KV,DSLKNOR5,1,6,8.123412132263184,Wed 07-01
ESCOND_GANSO1_1,ESCONDID:138KV-GANSO:138KV,SBRAHAM8,1,2,5.686450958251953,Sun 07-12
6695__B,SNYDR:69KV-AMOTP:69KV,SSNYCGR8,1,2,3.7855732440948486,Sun 07-05
BENTS_FRTER_1B_1,FRONTERA:138KV-S_MISSIN:138KV,SPALFRO8,1,2,3.1880998611450195,Fri 07-03
DA_WC_89_A,WC:138KV-DA:138KV,SEBHUG8,1,2,3.1014983654022217,Sun 07-05
HAINE__LA_PAL1_1,LA_PALMA:138KV-HAINE_DR:138KV,SRAYRI38,1,6,2.862534999847412,Wed 07-01
6217__A,WLVSW:138KV-GAILS:138KV,SBUZHMP8,1,2,2.2667975425720215,Wed 07-01
FB_RS_60_A,RS:138KV-FB:138KV,MATHEB_8,1,3,1.761565089225769,Sun 07-05
381__A,FMRVL:345KV-RYSSW:345KV,SFMRRY25,1,7,1.2435016632080078,Wed 07-01
SABIN_NEVAD_1,NEVADA:138KV-SABNCRKT:138KV,SWALWLN8,1,3,0.9911233186721802,Wed 07-01
_WC_WCO2_1,WC:138KV-WCOLMAIN:138KV,SWCOWC8,1,4,0.408160001039505,Wed 07-08
ESCOND_GANSO1_1,GANSO:138KV-ESCONDID:138KV,SBRAPIN8,1,2,0.3983199894428253,Wed 07-08
138_FTS_LNC_1,LEONCRK:138KV-FTST:138KV,DTNFBCA8,1,1,0.0,Tue 07-07
155T217_1,BELLSO:138KV-PT:138KV,DWPWFWP5,1,3,0.0,Wed 07-08
35045__A,SAMSW:345KV-FVLSW:345KV,DTHSFBR5,1,2,0.0,Wed 07-01
35055__A,SAMSW:345KV-VENSW:345KV,SFTSFVL5,1,4,0.0,Fri 07-03
421__A,BCESW:345KV-SNDSW:345KV,SBCEBGR5,1,1,0.0,Fri 07-03
6240__C,SACRC:138KV-DPCRK:138KV,DMTSCOS5,1,1,0.0,Sun 07-05
651__C,CMNTP:138KV-SHILO:138KV,DMBDRKC5,1,3,0.0,Mon 07-06
6635__G,MRVLY:69KV-ESTLD:69KV,SCLCGTN8,1,1,0.0,Sun 07-05
6965__A,LNGSW:345KV-PRLSW:345KV,DBEANOR5,1,1,0.0,Wed 07-01
BLESSI_PAVLOV1_1,BLESSING:138KV-PAVLOV:138KV,SSTPESP8,1,2,0.0,Fri 07-03
COCS_FTST1_1,COCS:69KV-FTST:69KV,SBROALP9,1,3,0.0,Sat 07-04
CTHR_TINSLE1_1,TINSLEY:138KV-CTHR:138KV,SILLFTL8,1,1,0.0,Sat 07-04
FARMLAND_LONGD_1,FARMLAND:345KV-W_LD_345:345KV,DCOTWR25,1,3,0.0,Sat 07-04
G138_15_1,WCOLLOCL:138KV-ANGLETON:138KV,SWCOWCO8,1,1,0.0,Wed 07-01
GEO_SIG_1,GEOWEST:138KV-SIGMOR:138KV,DFOWSMG5,1,4,0.0,Sun 07-12
HAMILT_MAVERI1_1,HAMILTON:138KV-MAVERICK:138KV,SBRAPIN8,1,3,0.0,Wed 07-08
LAKENA_SAMATH1_1,LAKENASW:69KV-SAMATHIS:69KV,DBAKCED5,1,3,0.0,Sun 07-05
LAKENA_SAMATH1_1,LAKENASW:69KV-SAMATHIS:69KV,SCARLVO8,1,2,0.0,Sun 07-05
NEWM_WAL_1,NEWMAN:138KV-WALNUT1:138KV,SOAKMCC8,1,2,0.0,Wed 07-08
RAY_MOURSUND_1,MOURSUND:138KV-RAYBURN:138KV,SFURVAN8,1,1,0.0,Fri 07-03
STPWAP39_1,STP:345KV-WAP:345KV,DWPWFCK5,1,5,0.0,Sat 07-04
SWEETWN2_XF21,SWEETWN2:138KV-SWEETWN2:345KV,BASE,1,1,0.0,Fri 07-03
UVALDE_W_BATE1_1,W_BATESV:138KV-UVALDE:138KV,SMOOPEA8,1,2,0.0,Sun 07-05
WAPWLY72_A,WLY:345KV-WAP:345KV,DOASSEB5,1,3,0.0,Sat 07-04
