year,status,n_hours,panhandle_mean_MW,panhandle_p90_MW,west_mean_MW,west_p90_abs_relief_MW,net_pan_plus_west_mean_MW,danger_hour_fraction
2021,OK,744,92.26574728460359,185.38995711654061,-138.33966075548196,319.7746158255445,-46.073913470878374,0.3548387096774194
2022,OK,744,62.26216517035988,154.25087904657792,-111.8074642728673,273.0679466476053,-49.54529910250743,0.3239247311827957
2023,OK,744,82.3153412685099,161.40645581652691,-142.93529321937152,366.9738792714958,-60.619951950861626,0.37231182795698925
2024,OK,744,87.003657147869,171.7126576577862,-137.3785937583232,351.67248954218707,-50.374936610454206,0.35618279569892475
2025,OK,744,80.48053712940093,174.25728891541965,-110.8409873494239,285.9126655287617,-30.360450220022955,0.4153225806451613
