ckey,date,priceTypeID,bind_hours,max_sp,sp_sum
ABNTHWST:138.1KV-ABNTHWST:138KV|MXMUB58,2026-07-14,1,2,1.0399999618530273,1.3339999616146088
ABNTHWST:138.1KV-ABNTHWST:138KV|SAB2ABN8,2026-07-09,1,3,3.259999990463257,5.931000053882599
ABNTHWST:138.1KV-ABNTHWST:138KV|SAB2ABN8,2026-07-10,1,4,3.7679998874664307,10.997999906539917
ABNTHWST:138.1KV-CALLAHAN:138KV|SNICBLU8,2026-07-14,1,1,0.4729999899864197,0.4729999899864197
ABNTHWST:138.1KV-HENDRICK:138KV|MDKPHP85,2026-07-13,1,1,0.4399999976158142,0.4399999976158142
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-05-14,1,3,5.539000034332275,9.718000054359436
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-05-15,1,6,12.739999771118164,45.49900007247925
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-05-16,1,7,9.72700023651123,47.39799952507019
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-05-17,1,2,5.869999885559082,6.147999882698059
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-05-18,1,4,5.675000190734863,13.037000179290771
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-05-26,1,1,0.48100000619888306,0.48100000619888306
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-05-30,1,3,8.614999771118164,12.50999966263771
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-01,1,2,2.6019999980926514,3.528999984264374
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-09,1,6,5.9029998779296875,8.899999844841659
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-13,1,3,6.451000213623047,7.717000231146812
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-16,1,2,1.027999997138977,1.315999984741211
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-17,1,13,8.73900032043457,38.771000266075134
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-20,1,1,0.8690000176429749,0.8690000176429749
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-22,1,1,0.014000000432133675,0.014000000432133675
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-23,1,8,9.638999938964844,50.647999972105026
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-24,1,11,7.195000171661377,30.587000273168087
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-25,1,5,7.453999996185303,16.591000020503998
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-26,1,14,6.418000221252441,62.13800013065338
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-28,1,1,5.797999858856201,5.797999858856201
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-29,1,2,0.6499999761581421,0.8069999814033508
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-06-30,1,2,14.281000137329102,19.254000186920166
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUB58,2026-07-01,1,7,3.128000020980835,9.445999801158905
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-02,1,9,51.22800064086914,216.50000381469727
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-03,1,7,19.746999740600586,99.7889986038208
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-04,1,11,67.13700103759766,425.4340018481016
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-05,1,8,33.72800064086914,130.22300148010254
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-06,1,7,88.81700134277344,399.5420036315918
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-07,1,10,32.9739990234375,155.0139988064766
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-08,1,9,53.66600036621094,232.2480013370514
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-09,1,5,47.577999114990234,134.41800022125244
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-10,1,8,225.802001953125,673.38401222229
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-11,1,12,93.28600311279297,463.10700514912605
