From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Lim MVA,% of MVA Limit (Max),Labels All,,
1801,PAR_PUMP_T8,17011,LKCRK_P8,1,Closed,Line,NO,-49.9,241,20.7,875_D,33bd00fd-b70a-4e8f-94da-69ed29e51464,49501
1802,DELTA1_8,1820,COMMERCE1_8,2,Closed,Line,NO,86.4,241,35.8,871_B,1f36c017-9443-47a6-b2df-ab00ee199ffb,338078
1802,DELTA1_8,11806,ENLOE_T8,4,Closed,Line,NO,-91.1,241,37.8,871_C,338079,4ecd2634-6c46-4cf3-9326-c0892db88af9
1808,BONHAM_8,11809,COPPERHD_8,1,Closed,Line,NO,-96.7,206,47,890_H,0e3a2988-96c1-47ec-9c95-ee9dbc962ff8,458244
1809,WOLFECTY_8,1810,WOLFCTY_P8,1,Closed,Line,NO,48.4,206,23.5,895C,162,891f9b89-fc04-4d2c-9dfd-44c431a9ae00
1809,WOLFECTY_8,1816,COMM_SW_8,1,Closed,Line,NO,36.4,206,17.7,895_D,0be94738-03df-4b0c-8453-fae88802e361,4962
1810,WOLFCTY_P8,6850,WLF_C_RC,1,Closed,Line,NO,3,117.6,2.6,WLF_C_RC1,3879,fa828db8-4011-4311-941e-e623ab97bb1d
1810,WOLFCTY_P8,11807,GOBERSW_8,1,Closed,Line,NO,45.4,206,22,895_F,455494,d2bf0d60-3025-460e-8c49-2d77ecf0b295
1814,SULSPG_8,1822,COOPERLK_T8,1,Closed,Line,NO,-95.9,206,46.6,870_G,499,7968a7b3-e853-4d29-bcdb-2f2349773e84
1815,CUMBY1_T8,1822,COOPERLK_T8,1,Closed,Line,NO,98.9,206,48,870_C,2c8ff11c-b740-484b-8629-977e5b0db974,496
1815,CUMBY1_T8,2843,SADDLEWD_8,1,Closed,Line,NO,-63.9,206.3,31,635_A,4dc9cfb8-629e-4766-83ff-f12450ae240a,862077
1815,CUMBY1_T8,11812,CUMBY_8,1,Closed,Line,NO,-38.4,120,32,695_A,23195d7a-85cf-47fe-9da1-52502e6efe87,655149
1816,COMM_SW_8,1819,COMM_S1_8,1,Closed,Line,NO,86.2,206,41.8,685_B,423,ff588855-6c64-4378-967a-738cafe022f9
1816,COMM_SW_8,1820,COMMERCE1_8,1,Closed,Line,NO,-75.9,389.8,19.5,871_A,501,79b971bf-5b3c-4dd9-ad82-4ceaef957b6e
1816,COMM_SW_8,1844,CROSRDSW_8,1,Closed,Line,NO,-165.9,241,68.8,874_A,594413,af5dc4b7-73f2-4f8a-9ede-f4179062621d
1816,COMM_SW_8,91818,SCTBRNCH_8,2,Closed,Line,NO,192,390,49.2,1745_F,666188,ae4d2528-af0b-4b19-9b67-9226d352f7dc
1819,COMM_S1_8,2843,SADDLEWD_8,1,Closed,Line,NO,63.9,206.3,31,685_A,862078,ce2dd1d4-ae51-4e95-8cdc-54d518069776
1822,COOPERLK_T8,1823,COOPERLK_8,1,Closed,Line,NO,3,120,2.5,870_H,500,bd0db4f1-d247-4891-9698-ee1ee39535e0
1833,BRKSTN_T8,1835,BOISPUMP_T8,1,Closed,Line,NO,77.1,229,33.7,1530_E,1470d2e2-bccb-4664-a97c-333089cfd78c,420854
1833,BRKSTN_T8,6840,BRKSTNLC,1,Closed,Line,NO,15.9,206.3,7.7,RC581,2940,c39bfdb9-afc5-445c-9d1d-374a00c06a43
1835,BOISPUMP_T8,6969,ODOM,1,Closed,Line,NO,6.1,241,2.5,ACPOIODOM_RC1,437764,e79f43c7-f32e-4b1f-b338-7ba5c903fcba
1838,MALRYCRK_8,11806,ENLOE_T8,5,Closed,Line,NO,99.7,241.2,41.4,871_F,054b1cf0-0235-4c26-952c-bc34d0cb8bec,757769
1839,STONCRK_8,11757,DORCHEST_8,9,Closed,Line,NO,172.7,486,35.5,830_B,6a818c8b-7e7e-4217-90a7-beb994b23312,719423
1839,STONCRK_8,12677,HAGGRTY_8,1,Closed,Line,NO,251.4,764.9,32.9,585,625507,670939d5-adb0-4067-85fe-fbefbd8672e9
1839,STONCRK_8,24019,STONE_1,1,Closed,Transformer,YES,-3.5,71,5,STNSWAX1H,368366,f6e1ed36-72bf-488b-b125-059d09eaa67d
1839,STONCRK_8,140002,SHER1_TL,1,Closed,Line,NO,-612.8,955,64.2,SHER1_STNSW1,376257,ac67edb9-b695-41c1-8e23-86752188cb6e
1841,CADE_BRN1_8,900862,IRONHRS_T8_1,3,Closed,Line,NO,-37.3,389.8,9.6,1060_C,39bab94e-7ce6-4276-8475-136330e34b0b,829231
1844,CROSRDSW_8,17011,LKCRK_P8,1,Closed,Line,NO,54.6,241,22.6,875_A,4c68b6ae-41a9-4ac7-8fe9-c669c51f9216,594414
1844,CROSRDSW_8,152586,ESTONIAN_8,1,Closed,Line,NO,-220.5,502.3,43.9,873_A,610878,875790dd-0616-4d91-9172-9a6d288838f0
1845,ROANOKE3T5,1847,ROANOKE1T5,1,Closed,Line,NO,8.5,1792,0.5,115655,f43cbcc4-6211-4c32-8e6d-841e910d07ba,
1845,ROANOKE3T5,1853,ROANOKE2_5,1,Closed,Line,NO,256.2,1792,14.3,113529,fc8af725-0e87-431a-8d74-ac93b97e6667,
1845,ROANOKE3T5,15855,EXCHANGE1_5,1,Closed,Line,NO,-264.7,1792.7,14.8,108,6d857a42-6539-4051-bd19-d34196817f79,715477
1846,LATIGO_PE,1857,MCPHERSN_P8,1,Closed,Line,NO,142.2,482,29.5,1060_O,82429,ce82c9ec-c867-4c87-bfa7-5a9b86222db9
1846,LATIGO_PE,15101,PARKVISTA2_8,1,Closed,Line,NO,-157.2,482,32.6,1060_P,399871,96733708-598d-4aa8-8720-942ce4d4dff3
1847,ROANOKE1T5,1851,ROANOKE1_5,1,Closed,Line,NO,8.5,1792,0.5,115650,12d65ffa-f9c3-4d0b-b163-c52b83028e92,
1848,ROANOKE2T_8,1852,ROANOKE2_8,1,Closed,Line,NO,197.5,717,27.5,113793,f3d938e1-dd3d-47a5-87b8-c44ab7f9c6c2,
1848,ROANOKE2T_8,1854,ROANOKE1_8,1,Closed,Line,NO,136.6,717,19.1,115651,bbbc6203-a632-4efa-bff4-6aa80c10aede,
1848,ROANOKE2T_8,12077,EXCHANGE1_8,10,Open,Line,NO,0,829.4,0,1075_J,869923,a8a03970-b0e0-4a8f-90d7-fb0ba7cc386b
1848,ROANOKE2T_8,24102,RNKSW2_1,2,Closed,Transformer,YES,-334.1,700,47.7,RNKSWMR2L,280412,3772ba6d-e757-4937-bbb5-7e1817a50e22
1849,ROANOKE2T5,1851,ROANOKE1_5,1,Closed,Line,NO,-161.4,1792,9,115647,e9ac7903-7201-451e-808b-efe45bc05666,
1849,ROANOKE2T5,1853,ROANOKE2_5,1,Closed,Line,NO,77.9,1792,4.3,115652,f603f61c-7b9c-4213-b761-6f26b7055b93,
1849,ROANOKE2T5,12068,DUNHAM_5,3,Closed,Line,NO,83.5,1568,5.3,115_A,843170,edac77b2-f509-47e9-9f04-2b54b51e86ae
1850,ROANOKE1T_8,1852,ROANOKE2_8,1,Closed,Line,NO,197.7,765,25.8,113346,c005642d-e293-498b-9583-77eb642f4b7e,
1850,ROANOKE1T_8,1854,ROANOKE1_8,1,Closed,Line,NO,136.7,717,19.1,113794,3b83767a-ee4b-4d28-b1c5-c9f37912987a,
1850,ROANOKE1T_8,24101,RNKSW1_1,1,Closed,Transformer,YES,-334.4,700,47.8,RNKSWMR1L,279024,97ea39c8-7dc7-4d21-9e9b-1e8fbeea34b4
1851,ROANOKE1_5,15855,EXCHANGE1_5,1,Closed,Line,NO,-265.7,1912.2,13.9,109,4fa5442c-d7d3-41c7-b8f3-3e4e2ce3cb03,715476
1851,ROANOKE1_5,24101,RNKSW1_1,1,Closed,Transformer,YES,334.4,700,47.8,RNKSWMR1H,279468,2efe4acc-96e5-4889-b138-1535ce52c284
1852,ROANOKE2_8,1867,ELIZCRK2_8,3,Closed,Line,NO,-34,607,5.6,6273_D,1327ee19-7d30-40aa-b0d3-2057c626ce8e,337526
1852,ROANOKE2_8,2018,WROANOKE1_8,1,Closed,Line,NO,230.7,607,38,1065_A,3640,dc186271-1029-478b-812d-4e36244efb6c
1853,ROANOKE2_5,24102,RNKSW2_1,2,Closed,Transformer,YES,334.1,700,47.7,RNKSWMR2H,279920,c97e04e6-9bb8-4f60-bddf-b607e71ada84
1854,ROANOKE1_8,1866,ELZCRK1_8,1,Closed,Line,NO,-9.3,607,1.5,6274_C,1505d7f0-823b-4b12-9927-51f4d0809b43,337527
1854,ROANOKE1_8,1872,ROANKS2_8,1,Closed,Line,NO,232.9,9999,2.3,196797,85a060eb-d5a1-4bd3-9930-1b97a0d09dbe,
1855,ALLIANCE1_5,1851,ROANOKE1_5,1,Open,Line,NO,0,1568,0,106_B,1233,82c73f8e-4ae4-4a2a-b3e6-830cace213b2
1856,KELLER1T_8,2038,WPKELLR2_8,1,Closed,Line,NO,48.8,516.3,9.4,1060_I,774,c0272188-0671-4e30-898f-b350af551970
1856,KELLER1T_8,11857,MCPHERSN2_P8,1,Closed,Line,NO,-109,478,22.8,1060_E,4783,6c29c061-4f8a-4257-bd83-10be9d57db16
1857,MCPHERSN_P8,11857,MCPHERSN2_P8,1,Open,Line,NO,0,9999,0,194467,6472bee2-8537-4e03-859a-f529f27dfd7b,
1858,BASECAMP1_8,1860,EAGLEMNT1_8,3,Closed,Line,NO,-235.5,764.9,30.8,12040,627028b0-4533-4664-b755-d3315e994c8e,828637
1858,BASECAMP1_8,1864,MORRIS_D2_8,1,Closed,Line,NO,213.9,779.7,27.4,6265_D,828682,de7caeda-8c48-4240-81af-05c459307ac8
1858,BASECAMP1_8,1865,MORRIS_D1_8,1,Closed,Line,NO,74.6,389.8,19.1,6185_G,828683,8e11e16b-213a-40cd-8e63-49fce7389b67
1858,BASECAMP1_8,2058,BOATCLUB1_8,1,Closed,Line,NO,131.5,779.7,16.9,6260_B,828681,b5e4c2ee-35cc-4162-bece-afc834843859
1858,BASECAMP1_8,2062,AZLE1_8,1,Closed,Line,NO,-24.5,179.3,13.6,6275_D,15ecb0da-8645-48b0-96e5-105f305cbbcc,828670
1858,BASECAMP1_8,2082,HICKS_SW_1_8,1,Closed,Line,NO,10.1,389.8,2.6,6276_B,2c6bb5be-1fe5-4a85-88cb-d229e4235544,828642
1858,BASECAMP1_8,2086,SANSOM2_8,1,Closed,Line,NO,57.2,389.8,14.7,6190_D,828684,b52bf56a-5b4c-4357-8239-7bd1b6458a81
1858,BASECAMP1_8,11860,EAGLEMNT2_8,2,Closed,Line,NO,-235.5,764.9,30.8,12050,828638,e5c60d3d-8fa2-46a5-8b8d-9a77619f265e
1858,BASECAMP1_8,12065,EGLMTLAK_P8,1,Closed,Line,NO,12.2,389.8,3.1,6277_D,828629,cc16e77b-d798-42c5-bc16-099bfc382ee2
1859,EAGLEMNT1_5,2081,HICKS_SW1_5,1,Closed,Line,NO,184.9,1568,11.8,35110_A,100207ee-5689-4c5b-9d88-916dc7592e51,309751
1859,EAGLEMNT1_5,11865,EAGLEMNT2_5,1,Closed,Line,NO,255.9,1912,13.4,212977,50c03955-5ada-44c1-a83a-2cf85a127bb5,
1859,EAGLEMNT1_5,24067,EMSES1_1,1,Closed,Transformer,YES,215,558,38.5,EMSESMR1H,279311,a2c2c18e-ad05-4121-8b27-d196ee26b368
1860,EAGLEMNT1_8,11859,EAGLEMNT1_T8,1,Closed,Line,NO,-107.5,765,14.1,121071,395e9534-463e-422d-a712-aec7d55d1315,
1860,EAGLEMNT1_8,11864,EAGLEMNT2_T8,1,Closed,Line,NO,-127.9,765,16.7,121279,9083ead9-841b-4839-833d-299c03a27a57,
1864,MORRIS_D2_8,1865,MORRIS_D1_8,1,Open,Line,NO,0,478,0,21162a72-bdf4-414b-b7b6-808164e16ce9,262848,
1864,MORRIS_D2_8,12058,BOATCLUB2_8,1,Closed,Line,NO,162.3,779.7,20.8,6265_F,724177,bd362f7c-6924-473b-8912-c54eb6f358b1
1865,MORRIS_D1_8,2085,SANSOM1_8,1,Closed,Line,NO,74.6,390,19.1,6185_D,3f2fc6ef-5c9b-4438-b536-d7da87909a30,6671
1866,ELZCRK1_8,1867,ELIZCRK2_8,1,Open,Line,NO,0,9999,0,191619,1c62cdcd-2073-4aa0-929e-30baba8a1d76,
1866,ELZCRK1_8,11852,BLUEDOVE_P8,1,Closed,Line,NO,-49.4,607,8.1,6274_B,371420,a11da522-3c32-4cb5-8752-a5f44451e614
1867,ELIZCRK2_8,11855,JNDAY_RD1_8,1,Closed,Line,NO,-34,607,5.6,6273_B,78172,fc4e7414-8427-485c-a952-9560f411ea94
1868,WLFHMDPT_5,1982,WLFHOLW4_5,1,Closed,Line,NO,517.5,1072,48.3,WHILP_EAST1,3083,e6e6ba38-e506-40c5-ba74-259c6cab7863
1868,WLFHMDPT_5,150174,WLFHMSTR,1,Closed,Transformer,YES,0,652,0,WHCCS1H,188165d9-27ed-4c5b-ba83-408490d6d9ac,31617
1869,BENBRK_A_T5,1873,BENBRK_5,1,Closed,Line,NO,116,956,12.1,119388,ea7e41d1-b06c-4657-9245-ef22d01310cc,
1869,BENBRK_A_T5,24021,BNBSW1_1,1,Closed,Transformer,YES,298.7,552,54.1,BNBSWMR1H,118680,f27330df-b7c4-433c-a47e-5922391a4ea3
1870,BENBRK_B_T5,1873,BENBRK_5,1,Closed,Line,NO,-861.9,1912,45.1,119375,1fe737ee-6479-4428-a290-351572e973c3,
1870,BENBRK_B_T5,1935,SYCMRCRK1_5,1,Closed,Line,NO,526.4,1031,51.1,6000_A,2299,dedfd181-3914-4d44-8c74-203105498b44
1870,BENBRK_B_T5,24022,BNBSW2_1,2,Closed,Transformer,YES,335.5,700,47.9,BNBSWMR2H,119137,2a2094b9-4028-44cd-9091-e45e2225ca09
1871,ROANKS1_8,1848,ROANOKE2T_8,1,Open,Line,NO,0,9999,0,6c0b1345-7148-4d24-959e-a101b1f8cb59,869932,
1871,ROANKS1_8,1852,ROANOKE2_8,1,Open,Line,NO,0,9999,0,196931,9630d028-3af1-4781-821a-54f2f742b178,
1871,ROANKS1_8,15115,IRONHRS_T8_1,8,Closed,Line,NO,-9.1,482.3,1.9,1075_H,829189,99617bf4-9bc0-464c-bfef-8a6377134630
1872,ROANKS2_8,900862,IRONHRS_T8_1,1,Closed,Line,NO,225.6,482.3,46.8,1060_B,829221,ad3ec24a-7a5b-4117-9981-46b95d86f946
1873,BENBRK_5,2285,CARMICHL_5,1,Closed,Line,NO,-329.8,1031,32,150_B,466602,b2937582-4f66-4cf3-b27a-d835154a3c7c
1874,BENBRK_A_8,1955,CALMONT1_8,1,Closed,Line,NO,126.7,471.8,26.8,6105_A,1777,db1a962e-8a4b-4d93-847e-572474f9c4d3
1874,BENBRK_A_8,2175,HORNE2_8,1,Closed,Line,NO,88.9,516.3,17.2,6130_A,2163,8035ad79-cc9e-4182-b315-c1785bba2c3a
1874,BENBRK_A_8,11874,BENBRKSUB1_8,1,Closed,Line,NO,83.2,456,18.2,6120_A,0268495d-014e-4b86-99b4-f540e9a7eca2,4588
1874,BENBRK_A_8,18741,BENBRK_SRA_8,1,Open,Line,NO,0,9999,0,118269,c0e087c8-aeda-4faf-8d4b-6308790ff73e,
1874,BENBRK_A_8,18741,BENBRK_SRA_8,2,Closed,Line,NO,-298.7,9999,3,SRREAL11,281863,2a9af8b7-ec87-4149-8da4-77b7a4b8e6d6
1875,BENBRK_B_8,1955,CALMONT1_8,1,Closed,Line,NO,102.8,456,22.5,6110_A,1779,ef3b0e51-7dcb-4efc-bb32-6023b5c97636
1875,BENBRK_B_8,2174,HORNE1_8,1,Closed,Line,NO,140.8,488.6,28.8,6125_A,2159,93ccab91-db83-4452-a234-be57cd127812
1875,BENBRK_B_8,11875,BENBRKSUB2_8,1,Closed,Line,NO,91.9,456,20.2,6115_A,1d0adb0d-b05c-4209-a907-2bc68644dc35,4725
1875,BENBRK_B_8,18751,BENBRK_SRB_8,1,Open,Line,NO,0,9999,0,120217,707dd4d7-a712-4927-b0e3-0ad33df2ff43,
1875,BENBRK_B_8,18751,BENBRK_SRB_8,2,Closed,Line,NO,-335.5,9999,3.4,SRREAL21,281630,6679677e-0f6b-43bc-a47a-ade3272c32f7
1876,WLFHOLW_5,1897,MITCHBND4_5,1,Closed,Line,NO,689.9,1912.2,36.1,6034_A,322121,d49e9a52-669b-4045-b796-3d64f0819c87
1876,WLFHOLW_5,1980,WLFHOLW2_5,1,Closed,Line,NO,-215.6,9999,2.2,115705,6f6c27a6-7094-466d-85ad-40bb219f0ac3,
1876,WLFHOLW_5,1982,WLFHOLW4_5,1,Closed,Line,NO,-474.3,9999,4.7,115700,f4413086-615e-4ab6-88e9-da218d90c4d7,
1877,MITCHBND_5,1878,WHCCS2_4,1,Closed,Line,NO,0,1360,0,WHILPII_WEST1,98920,b13fa404-e946-4989-8c75-f2d98e138627
1877,MITCHBND_5,1895,MITCHBND2_5,1,Closed,Line,NO,713.3,9999,7.1,850ae63c-182f-4ac8-b1fb-f54cefa2a2e2,95812,
1877,MITCHBND_5,1899,MITCHBND6_5,1,Closed,Line,NO,125.2,9999,1.3,5802bdb0-c5ce-43b5-b034-d9baa0b53888,95797,
1878,WHCCS2_4,151081,WHCCS2_G4,1,Closed,Transformer,YES,0,421,0,WHCCS24001,98608,f01e13a3-a899-49b9-a088-753791c72f37
1879,WHCCS2_5,1896,MITCHBND3_5,1,Closed,Line,NO,0,1360,0,WHILPII_EAST1,342a9c01-361d-4055-990e-7e4d9dbadea6,98939
1879,WHCCS2_5,151082,WHCCS2_G5,1,Closed,Transformer,YES,0,421,0,WHCCS25001,60ae7c96-a475-4c5c-a659-2c38165ae2d8,98709
1879,WHCCS2_5,151083,WHCCS2_G6,1,Closed,Transformer,YES,0,591,0,WHCCS26001,98732,e36cd68a-48eb-4fd6-911b-fd3d9b11d510
1880,ROCKYCRK_5,1898,MITCHBND5_5,1,Closed,Line,NO,-705.4,1572,44.9,152_A,322080,495b395f-faf7-4650-8802-ca5614369fa4
1880,ROCKYCRK_5,11886,TIMBERVW_5,1,Closed,Line,NO,447.9,1031,43.4,153_A,41b86192-6469-4832-b29e-abca5f5ac7e1,535594
1880,ROCKYCRK_5,24100,RKCRK1_1,1,Closed,Transformer,YES,257.5,700,36.8,RKCRKMR1H,279265,a8cb9292-6f2f-414d-ae04-3d0a6022c687
1881,ROCKYCRK_8,2196,PRIMRSE1_8,1,Closed,Line,NO,125.8,482.3,26.1,6117_B,2147,ac406908-25ba-42b6-938c-13983f1d7065
1881,ROCKYCRK_8,2197,PRIMRSE3_8,1,Closed,Line,NO,98.5,482.3,20.4,6122_B,1781,2ecfac96-1823-4e83-bb36-aeac74bdd66e
1881,ROCKYCRK_8,24100,RKCRK1_1,1,Closed,Transformer,YES,-257.5,700,36.8,RKCRKMR1L,279262,93555a9c-a6eb-401b-b6ca-6468b7202177
1882,EVRMAN_W5,1885,EVRMNTIE1_5,1,Closed,Line,NO,-375,1793,20.9,117963a2-4b09-4cc2-970d-5e547e67da38,120150,
1882,EVRMAN_W5,11885,EVRMNTIE3_5,1,Closed,Line,NO,157.5,1912,8.2,120883,d4d8125b-87b9-4951-8318-ae87108f7531,
1882,EVRMAN_W5,24070,EVRSW3_1,3,Closed,Transformer,YES,217.5,700,31.1,EVRSWMR3H,280180,5410e93f-b8fa-42c2-bdc1-8058ef75cc28
1883,EVRMAN_A8,1933,KENNEDALE_8,1,Closed,Line,NO,128,516.3,24.8,790_D,2217,c81beede-caa8-4588-adb4-f1f8cddcbbd4
1883,EVRMAN_A8,1969,MARRS_8,1,Closed,Line,NO,41.6,390,10.7,6303_A,365568,94943566-4acf-48cb-b9c9-85276fb13606
1883,EVRMAN_A8,2224,OAKHILL1_T8,1,Closed,Line,NO,50.7,474.7,10.7,6310_A,1483,aa400442-5d12-46bd-9ed0-6711f4b885d2
1883,EVRMAN_A8,11968,FRSTHIL2_8,1,Closed,Line,NO,23.2,607.4,3.8,6295_A,2257,6981e246-2ace-40af-95ca-92129cc72fa9
1883,EVRMAN_A8,24124,EVRSW4_1,4,Closed,Transformer,YES,-243.5,700,34.8,EVRSWMR4L,374206,9209259a-1c47-4463-8ad6-f7fc2410aa86
1883,EVRMAN_A8,900039,EVRMAN_A8,1,Open,Line,NO,0,9999,0,118292,678820a1-52ed-4c16-b95c-967b95ce483e,
1884,EVRMAN_B8,1883,EVRMAN_A8,2,Open,Line,NO,0,9999,0,214875,6ff8a19b-fd0f-495c-b6aa-c37259218602,
1884,EVRMAN_B8,1969,MARRS_8,1,Closed,Line,NO,101.2,390,26,6302_A,364963,e61b9bb9-3cbb-406b-bd28-85943ac2f7e5
1884,EVRMAN_B8,2211,ROLLHL1_T8,1,Closed,Line,NO,44.6,607,7.3,6290_A,2254,6c11981f-c8e7-413c-a1e0-50eb27b6380d
1884,EVRMAN_B8,2225,OAKHILL2_T8,1,Closed,Line,NO,71.8,475,15.1,6300_G,2265,97ce7202-11aa-4a80-8c3f-e73d3d549a4c
1884,EVRMAN_B8,900039,EVRMAN_A8,1,Closed,Line,NO,-217.5,9999,2.2,214624,33caa41f-ea0c-4a8d-a5c9-84018d741b7f,
1885,EVRMNTIE1_5,1886,EVRMAN_E5,1,Closed,Line,NO,388,1793,21.6,00aea472-70c7-4783-89d9-6837fc67c914,120151,
1885,EVRMNTIE1_5,11886,TIMBERVW_5,1,Closed,Line,NO,-763,1912.2,39.9,163_A,553334,63e6e20d-d506-4079-acb5-77c7ded22cd6
1886,EVRMAN_E5,11885,EVRMNTIE3_5,1,Closed,Line,NO,144.5,1912,7.6,120917,cc2e2bad-52b4-4de9-9cd2-9727dbfda6ab,
1886,EVRMAN_E5,24124,EVRSW4_1,4,Closed,Transformer,YES,243.5,700,34.8,EVRSWMR4H,374205,4b38ed8b-90ce-4bec-aec9-16b4fd1f0f24
1888,DECRDOVA_T5,1890,DECRDOVA_5,1,Open,Line,NO,0,9999,0,1b2bbd88-fde0-4443-bd92-2733636bb573,208283,
1888,DECRDOVA_T5,24023,DCSES1_1,1,Open,Transformer,YES,0,686,0,DCSESMR1H,0766dbd2-fbf0-4762-a8b1-68057c89d38e,155001
1891,DECRDOVA_8,2888,CARMICHL_8,1,Closed,Line,NO,212.2,607.4,34.9,805_A,466603,fdb56030-b226-45a1-82e1-ef84f6ea29eb
1891,DECRDOVA_8,2888,CARMICHL_8,2,Closed,Line,NO,228.8,607,37.7,807_A,277c681e-1634-40a4-af1c-d3152073ea27,466604
1891,DECRDOVA_8,24023,DCSES1_1,1,Open,Transformer,YES,0,686,0,DCSESMR1L,159871,ce0c4059-23ed-4a87-9d11-4447c515b977
1891,DECRDOVA_8,150721,DCSES_CT10,T3,Closed,Transformer,YES,0,95.2,0,DCSESFMR1,278983,72610ae2-5dff-4875-ae69-ccaa96b0dcfc
1891,DECRDOVA_8,150722,DCSES_CT20,T1,Closed,Transformer,YES,0,95.2,0,DCSESFMR2,137fd8e0-392c-4013-bac0-b2c2626b58d1,280344
1891,DECRDOVA_8,150723,DCSES_CT30,T4,Closed,Transformer,YES,0,95.2,0,DCSESFMR3,280423,3c022a3d-90be-4054-9e4e-32fb39bffa9f
1891,DECRDOVA_8,150724,DCSES_CT40,T2,Closed,Transformer,YES,0,95.2,0,DCSESFMR4,01d0f7f5-46c4-4044-9ddb-0307b287cc5c,280304
1891,DECRDOVA_8,152027,DCSES_8,1,Closed,Line,NO,2.3,9999,0,537255,6432a935-5f71-4eb6-9d6e-4af0bf6631bb,
1895,MITCHBND2_5,1896,MITCHBND3_5,1,Closed,Line,NO,-315.6,9999,3.2,610abdc9-d76f-4cc1-8926-9308d35775eb,95869,
1895,MITCHBND2_5,2285,CARMICHL_5,1,Closed,Line,NO,1029,1912.2,53.8,6017_B,466267,cdfbb90e-bd05-4582-ae27-9dbde03b2884
1896,MITCHBND3_5,1897,MITCHBND4_5,1,Closed,Line,NO,-315.6,9999,3.2,76639a55-e81c-40ca-a6fc-174b9e1008ab,95892,
1897,MITCHBND4_5,1898,MITCHBND5_5,1,Closed,Line,NO,374.2,9999,3.7,95910,c5c0c982-e5a5-4c33-8d68-ace8763181ac,
1898,MITCHBND5_5,1899,MITCHBND6_5,1,Closed,Line,NO,-331.1,9999,3.3,95751,96613bb4-3214-4320-8126-36c564067fbf,
1899,MITCHBND6_5,1900,COMCHPKW_5,1,Closed,Line,NO,-206,1568,13.1,6033_A,100350,e06ff886-2341-4d89-a5e0-4ccea3a45e55
1900,COMCHPKW_5,1902,JHNSONSW_P5,1,Closed,Line,NO,851.3,1568,54.3,140_A,1310,5d610990-2bd2-437b-bc1a-c147664d3c27
1900,COMCHPKW_5,1981,WLFHOLW3_5,1,Closed,Line,NO,172.4,1568,11,151_A,1312,6ad6bb6a-5765-42d0-90f6-0fd4fe3ab1c3
1900,COMCHPKW_5,11886,TIMBERVW_5,1,Closed,Line,NO,689.7,1568,44,6063_B,545879,cc7ae585-64e5-4e11-aa45-1dfcae471031
1900,COMCHPKW_5,150111,CPSES_UNIT1,1,Closed,Transformer,YES,0,781,0,CPSESMR1A,279210,da16e6a3-9b10-461c-8eb7-82bbc529d6ac
1900,COMCHPKW_5,150111,CPSES_UNIT1,2,Closed,Transformer,YES,0,781,0,CPSESMR1B,280215,5538c4e3-809a-492d-93c7-b7e30fb78339
1900,COMCHPKW_5,150112,CPSES_UNIT2,1,Closed,Transformer,YES,0,781,0,CPSESMR2A,280157,43173980-7311-4910-b096-aa4656d48c4b
1900,COMCHPKW_5,150112,CPSES_UNIT2,2,Closed,Transformer,YES,0,781,0,CPSESMR2B,280256,7f5f26e0-51b4-49bd-8f04-6e42e12ce675
1902,JHNSONSW_P5,1907,VENUS_N5,1,Closed,Line,NO,727.4,1572,46.3,141_A,1311,50f121d1-fdf7-489b-93f7-8b5467f53785
1904,WEBB3_5,2420,CHILSW1_5,1,Closed,Line,NO,395.6,1572.8,25.2,530_A,1636,cc4248f2-a129-4b61-b90c-b2aec7c6e9e1
1904,WEBB3_5,11901,BRITNRD1_5,1,Closed,Line,NO,-473.4,1936.1,24.5,530_B,05a220c8-bb46-4db2-898f-7de0e453e411,1637
1905,GRIFFTH_P8,2297,ALVARADO1_8,1,Closed,Line,NO,-51.5,206,25,780_B,1205,741ac9f6-9526-4f12-b74d-4b410b3705cc
1906,VENUS_S5,1939,MDLTHELP_S5,1,Closed,Line,NO,-720,1568,45.9,65_A,2391,7f964f8b-0607-4761-b2b3-afe3491ce2fe
1906,VENUS_S5,3389,FORTSMITH_5,1,Closed,Line,NO,-320.9,1912.2,16.8,35050_B,589666,5913a923-d5ea-4729-a7bf-e6922fdae682
1906,VENUS_S5,11886,TIMBERVW_5,1,Closed,Line,NO,-256.3,1572.8,16.3,495_B,546170,87339023-9b8b-404d-814c-02d2121be4cb
1906,VENUS_S5,11901,BRITNRD1_5,1,Closed,Line,NO,476.9,1912.2,24.9,530_C,1638,80acc7dc-3dc9-4501-802d-7ea91c8c3855
1906,VENUS_S5,11904,ENDEAVOR_5,1,Closed,Line,NO,393.1,1568,25.1,527,700396,90ee52fe-7080-462f-afb7-561e45ad4277
1906,VENUS_S5,24042,VENSW2_1,2,Closed,Transformer,YES,35.4,120,29.5,VENSWMR2H,61756,8db3a393-8581-4ae8-86dd-0bb5478bd176
1907,VENUS_N5,1921,LIGGETTA1_5,1,Closed,Line,NO,382.8,1568,24.4,528_A,1634,44bae659-daa9-4f41-8dd3-c94df66df919
1907,VENUS_N5,1940,MDLTHELP_N5,1,Closed,Line,NO,-349.5,1568,22.3,15_A,2392,92dc601b-eb01-4842-a2ab-1fc8f3e7510b
1907,VENUS_N5,3383,BYNUM_5,2,Open,Line,NO,0,1031.4,0,35055_B,867155,9a65b07c-7771-47ae-a1c6-fda637e3f7d2
