From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Lim MVA,% of MVA Limit (Max),Labels All,,
36,HEARNE9,61,BRANCHVILE,1,Closed,Line,NO,-33.5,115,29.1,HRN_BRAN1,84,9eacc219-cf4e-47bd-9520-d9f176041797
38,SUTTON,32870,BRYN_TABOR69,1,Closed,Line,NO,31.8,115,27.7,SUTN_TABOR1,267f9303-09bb-4bd6-8efc-7641f5fa33c1,4229
39,GOODLAND,32897,BRYN_DSBY138,1,Closed,Line,NO,134.9,121,111.5,GOOD_DAN1,46597ddd-2247-4cde-8b6b-b728f71e2745,5107
39,GOODLAND,120382,RPUBRDS_8,1,Closed,Line,NO,0,206,0,RPUBRDS_TL1,521429,f27de319-79d5-4a0d-ac1c-ec969b6e9644
41,SKIPPER,42,TIMBERCST,1,Closed,Line,NO,133,266,50,SKIPR_TMBCST,836089,9590eb20-b1e7-4c6f-a267-a1f82787c76c
41,SKIPPER,3394,JEWETTA_8,1,Closed,Line,NO,-265.5,266,99.8,SKPR_JWT1,4466,90c801a4-3474-449d-932e-a551fc266405
42,TIMBERCST,3491,SEVENACRES_8,1,Closed,Line,NO,0.2,607.4,0,1222_A,859537,992ace10-58ee-47b9-9a14-13e2ab431c99
42,TIMBERCST,3491,SEVENACRES_8,2,Closed,Line,NO,0.2,607.4,0,1222_B,859536,b686ff92-a940-4e63-a7ce-35a4b5aa3cb6
43,HILTPLKSSW,48,HILTOPLKS9,1,Closed,Line,NO,-3.1,115,2.7,HLT_HLK1,81,c93625b9-8e4c-4ef9-8a34-71b0abc4310f
43,HILTPLKSSW,57,FRANKLIN,1,Closed,Line,NO,36.5,133,27.4,HLT_FRA1,80,9672404e-70af-4373-a8c5-4c5b2916fb01
43,HILTPLKSSW,93,PETTEWAY,1,Closed,Line,NO,-33.4,115,29.1,HLT_PETE1,82,92dd9594-e4f9-4cd2-b6fc-70ae8fe8b44c
45,OLETHA,46,FARRAR,1,Closed,Line,NO,99.2,206,48.1,1220_F,3057,96b92a0c-ca91-4e34-84c2-59951c580bb8
45,OLETHA,3597,GROESBECP_8,1,Closed,Line,NO,-104.8,206,50.9,1220_I,2752,fd293b55-791e-492a-8baa-d87ca8da5196
46,FARRAR,86,BEARGRASS,1,Closed,Line,NO,90.3,206,43.9,1220_E,1ac52728-cef2-4588-8889-80214fa44c18,2751
48,HILTOPLKS9,47,HILTOPLKS8,1,Closed,Transformer,YES,-10.3,60,17.2,HLKKAT1,279568,e736d306-9683-4b4b-ace3-55ae1fd70598
53,ELLIOTT,57,FRANKLIN,1,Closed,Line,NO,-25.4,133,19.1,ELT_FRA1,4458,ff11e524-5347-4b3e-ad70-81d92133902b
61,BRANCHVILE,65,SILVERCITY,1,Closed,Line,NO,-38.2,118,32.4,BRA_SVC1,23,6bd9928b-0aa8-4d44-b655-4dc9c17b5703
64,MILANO,3683,MINERVA1_8,1,Closed,Line,NO,16.5,212,7.8,1261_C,2220b922-4b48-480d-9e83-eff76e9fd0c2,4992
64,MILANO,3707,CANNON_8,1,Closed,Line,NO,-20.3,213,9.5,1261_D,747851,c410bab0-1d25-45db-b0ae-53e5b72e6716
65,SILVERCITY,69,BARCLAY,1,Closed,Line,NO,-18.6,133,14,SVC_BARC1,4230,47f9008f-acf5-4e34-9865-a08aa1808d86
65,SILVERCITY,73,CALVERTSW,1,Closed,Line,NO,-26.8,194,13.8,SVC_CALV1,4300,ced64473-498b-47b8-9de0-afdc6e034933
65,SILVERCITY,110,BUCKHOLTS,1,Closed,Line,NO,4.3,14,31,SVC_BUCK1,4232,7c00bec6-4b4a-428a-a7b1-5ed7a3f4a254
69,BARCLAY,131,SEATON9,1,Closed,Line,NO,-24.6,133,18.5,BAR_SEA1,295,ac4c0c44-c38f-45fe-8431-7c0a586b4196
73,CALVERTSW,77,CALVERT,1,Closed,Line,NO,5.6,14,39.7,CAL_CALV1,1f18d934-fe3a-4dda-a74c-c46a5fe83d40,322
73,CALVERTSW,81,PLESNTGROV,1,Closed,Line,NO,-32.4,208,15.6,CAL_PLSN1,401,efbc9aa5-9600-4f21-a976-450cb9b8e93c
77,CALVERT,78,BAILEYVILLE,1,Closed,Line,NO,3.5,45,7.7,CALV_BALYV1,399850,fc0fb07e-c0b6-4ef8-b1d0-c81102378c76
81,PLESNTGROV,185,MIDWAY,1,Closed,Line,NO,-35.4,207,17.1,PLS_MIDW1,506,c8757d33-abc6-44d8-858e-d4a286765998
85,KOSSESWCH,89,KOSSE,1,Closed,Line,NO,0.8,14,5.7,KOS_KOSS1,103,cbf07269-fc4d-4c80-96e3-c48cc4cb8140
85,KOSSESWCH,93,PETTEWAY,1,Closed,Line,NO,36.4,115,31.6,KOS_PETE1,104,d857109c-818d-4a3c-b8ad-4511883576d8
85,KOSSESWCH,99,BENHUR,1,Closed,Line,NO,-37.2,115,32.3,KOS_BHR1,102,1d47648d-0687-4c95-aa70-02d1a7ce182c
86,BEARGRASS,3599,AMERIGAST_8,1,Closed,Line,NO,89.2,206,43.3,1220_B,25199fd0-01a0-40e1-9d6b-b7eb05398e5a,2749
91,PERRY8,92,PERRY9,2,Closed,Transformer,YES,45.1,100,45.1,PRYPRY2,7681ea82-2a52-4122-bf4f-040dab22a943,768792
91,PERRY8,3410,LAKE_CRK1_8,1,Closed,Line,NO,-90.3,176,51.3,PRY_LCSES1,3951,784f42a6-a9e2-4af2-9b1c-a75d7950467b
92,PERRY9,91,PERRY8,1,Closed,Transformer,YES,-45.1,100,45.1,PRYPRY1,280248,7755a7dd-684a-42c3-a85d-97a4c56aa2d1
92,PERRY9,99,BENHUR,1,Closed,Line,NO,47.5,115,41.3,PRY_BHR1,4986,9876f6eb-d050-423c-bf8e-dea7f8aad884
92,PERRY9,185,MIDWAY,1,Closed,Line,NO,39.1,192,20.4,PRY_MIDW1,4988,8ccb1b3a-8987-4186-a52f-96593389bd3a
95,HALLSBURG,3410,LAKE_CRK1_8,1,Closed,Line,NO,5.7,179,3.2,1020_D,1584,cb45186e-7d04-45ae-a98a-758aa4a1288f
95,HALLSBURG,3555,THOUSE_T__8,1,Closed,Line,NO,-8.7,179,4.9,1020_B,61930abd-0bea-4871-a7a1-ba71b999bc93,751
99,BENHUR,103,GROESBECK,1,Closed,Line,NO,4.3,14,30.9,BHR_GRO1,299,ceb6a72f-9512-4a6d-8468-50de14b82576
99,BENHUR,107,PRAIRIEHIL,1,Closed,Line,NO,2.7,115,2.4,BHR_PRA1,300,fce16aae-0e29-4d2c-b46c-719fc45d10e8
102,STEWARD,104,BUTLER,1,Closed,Line,NO,5.7,71,8,BUTLR_STWRD11,865815,9f0ae28f-781d-4255-a0d7-75c33d2bd17e
102,STEWARD,3283,BUTLERMT_P8,1,Closed,Line,NO,-5.7,67,8.4,1250_I1,4021,79fb4cb9-260a-4d27-b086-fd1a1158a559
107,PRAIRIEHIL,186,NAVAROMILS,1,Closed,Line,NO,-1.6,115,1.4,PRA_NAVR1,4916,97aed1ea-bcae-41a8-a96d-08021f7472c1
114,BARTLETTSW,118,BARTLETT,1,Closed,Line,NO,4.7,207,2.2,BAR_BART1,20,55262ed6-7a67-404d-9a96-6c1d88e92372
114,BARTLETTSW,122,SCHWERTNER,1,Closed,Line,NO,42,192,21.8,BAR_SCHW1,21,c4bce92a-902f-4b2a-9aaf-4f49ed50e1a8
114,BARTLETTSW,133,BELLCNTY9,1,Closed,Line,NO,-46.6,192,24.3,BEL_BART1,297,3aa14e61-3096-4a3f-899f-ef57b6f03802
115,DINGDONG,117,CEDARVALLY,1,Closed,Line,NO,-122,384,31.8,CDRVAL_DNG1,404,5fbd0ce1-af37-46b6-ae97-98e1192f9a7c
115,DINGDONG,3630,COPPERCV1_8,1,Closed,Line,NO,116.8,309.8,37.7,1271_A,12a9c1aa-8527-4429-81aa-d86109d492fb,1654
116,SALTY,3701,ROOKIE_8,1,Closed,Line,NO,51.1,613,8.3,1795,697863,f744f7de-b026-434a-9700-758e681b9fbd
116,SALTY,13430,SAND_TXU_8,1,Closed,Line,NO,-54.6,478,11.4,1740_B,1259,2fbafa28-0e35-448f-be64-ce6288d1e9e0
117,CEDARVALLY,136,TRIMMIER,1,Closed,Line,NO,-127.8,384,33.3,CDRVAL_TRIM1,405,5ebc3c86-a2d3-4f16-8f20-3132d4caac03
120,TALBRTRIDG,3678,ROCKDALE1_8,1,Closed,Line,NO,-13,393,3.3,1410_C,2887,d4e4515c-00c9-4aa9-91fa-977a3ff102b5
120,TALBRTRIDG,3683,MINERVA1_8,1,Closed,Line,NO,7.3,393,1.9,1410_A,2899,6a3ecccb-2040-43ee-b316-ed1252937b15
121,SONTERRA,3688,JARRELL_E_8,1,Closed,Line,NO,216.1,206,104.9,1710_B,5,78c94c81-85a5-4441-bbbd-23a704705ba4
121,SONTERRA,13640,SALADO_S1_8,1,Closed,Line,NO,-224.9,206,109.2,1710_A,4,aa5db81f-30eb-4404-bc9e-e21b260cb802
122,SCHWERTNER,124,ANDUIN9,1,Closed,Line,NO,30.5,71,43,SCHW_ANDUIN,770697,dddaadb7-cfd0-4b86-8029-d3d40a33896c
124,ANDUIN9,7345,L_GABRIE9_1Y,1,Closed,Line,NO,30.5,116,26.3,ANDUIN_GAB,770715,9f12f56f-d259-4f46-8b27-af6ad8f2e7ee
126,POAGE,131,SEATON9,1,Closed,Line,NO,-16.8,103,16.3,2394_A,3307,ab4bb5f7-2d1f-4792-aeea-ee926725ee81
126,POAGE,145,LEONJUNCTN,1,Closed,Line,NO,-37.8,115,32.9,PGE_LEON1,42,e16d28b3-ad39-4fa3-a5d5-6f6865d1bab0
126,POAGE,3636,TEMPTAYV1_9,1,Closed,Line,NO,54.6,103,53,2395_B,4199,7e923d94-ceb0-4bcd-bb45-4dcad213c35c
130,SEATON8,3415,TEMP_SS__8,1,Closed,Line,NO,-41.4,121,34.2,1000281,4429,62f27142-d64f-4089-98e7-84a3b3fa5182
131,SEATON9,130,SEATON8,1,Closed,Transformer,YES,-41.4,100,41.4,SEAAAT1,279260,91b532e0-ec6e-46f2-82c7-e57a66872e4e
132,BELLCNTY8,3493,FRYERSCRK,2,Closed,Line,NO,-265.5,314.6,84.4,741342,a71fcff3-ed2c-4bac-8155-d8128e5af602,
132,BELLCNTY8,3640,SALADO1_8,1,Closed,Line,NO,254.8,276.1,92.3,1710_C,3,6141f956-31cb-4ec4-bf41-b0b95445fd41
133,BELLCNTY9,132,BELLCNTY8,1,Closed,Transformer,YES,-10.8,75,14.4,BELCNTYXFMR,1d18e9ed-ae11-4066-b83e-1e93c0a09f1f,279466
133,BELLCNTY9,3636,TEMPTAYV1_9,1,Closed,Line,NO,-35.8,103,34.8,2395_C,3253,9380595d-27f6-4c4d-bd5b-4a94640645e3
136,TRIMMIER,3423,KILL_SS__8,1,Closed,Line,NO,-133.8,230,58.2,TRIMR_KLNSW1,4594,66deab5c-df6a-40a9-9c14-81fcbfa193ea
137,MOODY,138,JUDITH,1,Closed,Line,NO,-128,230,55.6,MOODY_JUDITH,0abf5bed-a041-4c3c-baaf-fd9e1df07ebb,674430
137,MOODY,141,MOFFAT,1,Closed,Line,NO,123.6,230,53.8,MOO_MOFF1,4269,5198a6d3-6123-4152-8e10-502efee1c35c
138,JUDITH,161,MCGREGOR,1,Closed,Line,NO,-142.7,230,62.1,MCGR_JUDITH,674429,c8a916e7-3b22-4a33-aba5-0be67b6597e5
139,LAKEBELTON,141,MOFFAT,1,Closed,Line,NO,-115.8,206.3,56.1,LKBLT_MOFF1,201fc886-37f7-46ed-a5e9-53b2c6a96b2c,
