teid,n_hours,n_inservice,dampsse_ids,pct_inservice,dampsse_default_status,branch_id,implied_default_status,pct_closed,from_bus,to_bus,DeviceType,ercotDampsseId,dampsse_name_raw,dampsse_from_station,dampsse_to_station
70,17520,17520,1,1.0,Closed,60002127.0,Closed,1.0,GOLDENSW_8,BRAND_8,Line,420,6429__C,GLDSW,BRAND
71,17520,17461,1,0.9966,Closed,60000161.0,Closed,1.0,L_KERRST8_1Y,L_KENDAL8_1Y,Line,1427,115T123_1,KENDAL,KERRST
72,17520,14051,1,0.802,Closed,60005154.0,Closed,0.85,GUSTINE,HASSE,Line,2144,GUS_HAS_1,GUSTINE,HAS
74,17520,17520,1,1.0,Closed,60005217.0,Closed,1.0,HARDYSW,DYEMOUND,Line,804,HARD_DMOND_1,HARDYSW,DYEMOUND
76,17520,17520,1,1.0,Closed,60005262.0,Closed,1.0,HEARNE9,HEARNECITY,Line,2245,HEA_HRN_1,HEARNCTY,HRN
77,17520,17520,1,1.0,Closed,60005319.0,Closed,1.0,HILLTOP8,DICEY,Line,2344,HIL_DICE_1,DICEY,HIL
78,17520,17520,1,1.0,Closed,60008360.0,Closed,1.0,HILLTOP8,WTHFDLK,Line,2219,HIL_WTLK_1,HIL,WTHFDLK8
80,17520,17520,1,1.0,Closed,60005370.0,Closed,1.0,HILTPLKSSW,FRANKLIN,Line,2225,HLT_FRA_1,HLTPLKSW,FRA
81,17520,17520,1,1.0,Closed,60005371.0,Closed,1.0,HILTOPLKS9,HILTPLKSSW,Line,2226,HLT_HLK_1,HLTPLKSW,HLK
82,17520,17520,1,1.0,Closed,60005372.0,Closed,1.0,HILTPLKSSW,PETTEWAY,Line,2309,HLT_PETE_1,HLTPLKSW,PETEWAY
83,17520,17443,1,0.9956,Closed,60005484.0,Closed,1.0,KEITHSW,IOLA,Line,2487,IOLA_KEITHSW_1,IOLA,KEITHSW
84,17520,17520,1,1.0,Closed,60005415.0,Closed,1.0,BRANCHVILE,HEARNE9,Line,2314,HRN_BRAN_1,BRANCHVL,HRN
85,17520,17520,1,1.0,Closed,60005483.0,Closed,1.0,IOLA,BEDIAS,Line,2379,IOL_BED_1,IOLA,BED
86,17520,16653,1,0.9505,Closed,60005491.0,Closed,1.0,ITASCA,FORRESTON,Line,3867,ITA_FORE_1,FORESTON,ITASCA
87,17520,16934,1,0.9666,Closed,60005492.0,Closed,1.0,ITASCA,PEORIA,Line,2436,ITA_PEOR_1,ITASCA,PEORIA
88,17520,17520,1,1.0,Closed,60005504.0,Closed,1.0,JCKCNTY8,BALSORA_8,Line,2473,JACKCNTY_BLSRA_1,JACKCNTY,BLSRA
89,17520,17520,1,1.0,Closed,60005508.0,Closed,1.0,JOPLIN,JCKCNTY8,Line,3870,JACKCNTY_JOPLI_1,JACKCNTY,JOPLIN
90,17520,17520,1,1.0,Closed,60007891.0,Closed,1.0,WSTBROOK,JCKCNTY8,Line,966,WSTBRK_JCKCNTY_1,JACKCNTY,WSTBROOK
91,17520,17520,1,1.0,Closed,60005556.0,Closed,1.0,JOHNSONSW,JOHNSON,Line,2495,JOH_JOHN_1,JOHNSNSW,JOHNSON
93,17520,17520,1,1.0,Closed,60005564.0,Closed,1.0,JOSHUA,CROWLEY,Line,3883,JOS_CROW_1,CROWLEY,JOSHUA
94,17520,17520,1,1.0,Closed,60005590.0,Closed,1.0,KEETER,COTTONDALE,Line,3947,KEE_COTN_1,KEETER,COTNDALE
95,17520,17507,1,0.9993,Closed,60005594.0,Closed,1.0,KEITHSW,KEITH,Line,2454,KEI_KEITHSW_1,KEITHSW,KEI
99,17520,17485,1,0.998,Closed,60005670.0,Closed,1.0,KING,BISSETT,Line,4006,KNG_BIS_1,KNG,BIS
100,17520,17509,1,0.9994,Closed,60005673.0,Closed,1.0,KNOX,KATZ,Line,3955,KNO_KATZ_1,KATZP,KNOX9
102,17520,17142,1,0.9784,Closed,60005689.0,Closed,0.95,BENHUR,KOSSESWCH,Line,3918,KOS_BHR_1,KOSSESW,BHR
103,17520,17520,1,1.0,Closed,60005690.0,Closed,1.0,KOSSE,KOSSESWCH,Line,4010,KOS_KOSS_1,KOSSE,KOSSESW
104,17520,17520,1,1.0,Closed,60005691.0,Closed,1.0,PETTEWAY,KOSSESWCH,Line,3973,KOS_PETE_1,PETEWAY,KOSSESW
105,17520,17520,1,1.0,Closed,60005730.0,Closed,1.0,LKALVARADO,GRANDVIEW,Line,3926,LAL_GDV_1,LAL,GDV
106,17520,17520,1,1.0,Closed,60005732.0,Closed,1.0,LAMPOSTSW,LAMPOST,Line,4081,LAM_LMPSTSW2_1,LAMPSTSW,LAMPOST
107,17520,17511,1,0.9995,Closed,60005833.0,Closed,1.0,LITTLEHOSS,WLDCATTAP,Line,4149,LHOS_WCTSW_1,LITTLHOS,WLDCATSW
