teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
279809,60112795.0,2891.0,GOA_GOATWIND,GOAT_1_5,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,mixed,Closed,0.7787,Closed,0.588
279151,60112135.0,6060.0,NWF_NWF1,NWF_1_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9967,Closed,1.0
722136,60112384.0,12201.0,BKSL_ESS_B1,BKSL_ESS_5,T1,Closed,dampsse_inservice,2024-12-18 11:00:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,multiple_confirmed_energization_events,clear_majority,Closed,0.9127,Closed,1.0
313524,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
280265,60111408.0,7928.0,TNTNP_ONE_3,TNP__TNP_O_2,2,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9261,Closed,0.941
319569,60111035.0,7654.0,L_SALEM_8_1Y,L_SELAM01_1Y,2,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9934,Closed,1.0
280266,60112133.0,6307.0,PC_SOUTH_2_5,PC_PANTHER32,3,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9963,Closed,1.0
645787,60112476.0,11347.0,PITTSDDK_S1,PITTSDDK_8,T1,Closed,dampsse_inservice,2023-06-20 13:12:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9708,Closed,1.0
683805,60112379.0,11725.0,MONT_WND_C2,MONT_WND_5,T2,Closed,dampsse_inservice,2024-05-03 21:33:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9856,Closed,1.0
280267,60111614.0,9535.0,GENWAP2_02_8,WAP_WAP_G2,G1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9924,Closed,1.0
280268,60112785.0,7958.0,TKWSW_ROSCOE,TKWSW_1_5,2,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9977,Closed,1.0
414379,60112179.0,4537.0,LAPETUS_S1,LAPETUS_8,T1,Closed,dampsse_inservice,2019-11-16 16:00:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,energization_planned_not_actualized,clear_majority,Closed,0.9946,Closed,1.0
870704,60114351.0,14382.0,HOLZ_SLR_S1,HOLZ_SLR_8,T2,Open,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Open,0.2774,Closed,1.0
279539,60110719.0,1022.0,BARTON_8,BRTSW_BCW1,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9915,Closed,1.0
