teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,unmatched_reason
438337,f64cced1-4db4-42eb-a7a1-069d07f0be86,Transformer,PowerTransformer,2,MR2T 13.8kV-1kV,24992,HUTO_2,HUTTO,24132,HOTTO_2,HUTTO,MR2T,HUTTO_MR2T,,,,,,,,,,,unmatched,transformer_tertiary_stub
659627,f685c8e2-f782-4625-8e66-f424ecf07a05,Transformer,PowerTransformer,1,XF1T 12kV-1kV,6011,CHLD0A,CHLD,6027,WC1DUM,CHLD,XF1T,CHLD_XF1T,,,,,,,,,,,unmatched,transformer_tertiary_stub
41078,f693b3fd-1e9a-40bf-9da3-c1b77ed71428,Transformer,PowerTransformer,1,A3T 14.4kV-1kV,110151,DOW_A4_1,DOW,49193,DOW____A3STR,DOW,A3T,DOW_A3T,,,,,,,,,,,unmatched,transformer_tertiary_stub
121226,f6f406b4-861d-4a90-b669-082359fe557a,Transformer,PowerTransformer,2,MR2T 13.8kV-1kV,11877,BENBRK_B_3,BNBSW,24022,BNBSW2_1,BNBSW,MR2T,BNBSW_MR2T,,,,,,,,,,,unmatched,transformer_tertiary_stub
534360,f7a12c63-a359-4107-a560-ef720d233b60,Transformer,PowerTransformer,T9,XT3Y 13.8kV-1kV,112416,RABBS_N6,RAB,112423,112423,RAB,XT3Y,RAB_XT3Y,,,,,,,,,,,unmatched,transformer_tertiary_stub
339766,f849fdda-965f-4b8d-8acb-1e0a07780115,Transformer,PowerTransformer,3,G2SX 13.8kV-1kV,151199,DEC_2X,DEC,151206,DEC_2_1,DEC,G2SX,DEC_G2SX,,,,,,,,,,,unmatched,transformer_tertiary_stub
505120,f8c7f84f-7f3b-4d38-9268-356179a4309d,Transformer,PowerTransformer,1,647Y 14.4kV-1kV,110161,DOW_647Y,DOWGEN,110163,DOW_647H,DOWGEN,647Y,DOWGEN_647Y,,,,,,,,,,,unmatched,transformer_tertiary_stub
61259,fa3ae54c-2a80-442c-97f6-cc4bccf68f5b,Transformer,PowerTransformer,6,X19B 13.8kV-4.1999998kV,110332,NCA_NCARBIG2,NCARBIDE,110333,NCA_NCARBIG6,NCARBIDE,X19B,NCARBIDE_X19B,,,,,,,,,,,unmatched,transformer_other
277205,fa448a60-7aca-4147-8e20-0bf4e2ae9989,Transformer,PowerTransformer,1,MR1T 13.8kV-1kV,5057,CAGAUTO1,CAGNON,5061,CAGSTAR1,CAGNON,MR1T,CAGNON_MR1T,,,,,,,,,,,unmatched,transformer_tertiary_stub
279942,fac30598-dc25-4a5f-b64d-cb6de6f8f352,Transformer,PowerTransformer,A2,AT2T 13.2kV-1kV,49210,GENTHW1_01_1,THW,49180,T_H_W__A2STR,THW,AT2T,THW_AT2T,,,,,,,,,,,unmatched,transformer_tertiary_stub
717119,fbb8e6e0-babd-44fc-bb88-7d04bf403350,Transformer,PowerTransformer,1,MR2T 13.8kV-1kV,10052,RANGER2_3,RGRSW,24153,RANGER2_T,RGRSW,MR2T,RGRSW_MR2T,,,,,,,,,,,unmatched,transformer_tertiary_stub
279944,fbe0a109-ec0b-49b0-862f-062177af3e37,Transformer,PowerTransformer,G1,XT5C 13.8kV-1kV,110053,THW_N2,THW,49149,49149_STAR,THW,XT5C,THW_XT5C,,,,,,,,,,,unmatched,transformer_tertiary_stub
280012,fc15d274-bd7f-4bd0-81d2-264a1a0721d6,Transformer,PowerTransformer,A1,AT1T 13kV-1kV,49011,DWNTWN_A1TER,DT,49111,DWNTWN_A1STR,DT,AT1T,DT_AT1T,,,,,,,,,,,unmatched,transformer_tertiary_stub
279048,fc77a579-fa3e-4a47-b4cb-78fa43ba72e1,Transformer,PowerTransformer,1,MR2T 13.8kV-1kV,13406,ELM_MOTT_3,ELMOT,24065,ELMOT1_1,ELMOT,MR2T,ELMOT_MR2T,,,,,,,,,,,unmatched,transformer_tertiary_stub
664630,fcf352ff-47c7-4f3b-a778-f268b9b4a075,Transformer,PowerTransformer,T3,KT3B 34.5kV-1kV,112875,GSTAR_S4,PHO,112882,112882,PHO,KT3B,PHO_KT3B,,,,,,,,,,,unmatched,transformer_tertiary_stub
339762,fd9a422f-9c1a-4f72-9076-bb4fbb346e2f,Transformer,PowerTransformer,1,G0CX 13.8kV-1kV,151197,DEC_0X,DEC,151204,DEC_0_1,DEC,G0CX,DEC_G0CX,,,,,,,,,,,unmatched,transformer_tertiary_stub
872349,fd9f90ad-a36c-408c-b18d-bb84c6c92a27,Transformer,PowerTransformer,1,XF1T 13.09kV-1kV,60427,MASN1A,MASN,60454,MASNDUM,MASN,XF1T,MASN_XF1T,,,,,,,,,,,unmatched,transformer_tertiary_stub
279285,fda55961-2233-467a-8fe2-6e0c98e28e94,Transformer,PowerTransformer,1,MR1T 13.8kV-1kV,12523,PL_TENNY1_3,PTENN,24095,PTENN1_1,PTENN,MR1T,PTENN_MR1T,,,,,,,,,,,unmatched,transformer_tertiary_stub
339767,fe8b2f61-9feb-4a8a-8c30-0a0f5a8c6ed5,Transformer,PowerTransformer,3,G2SY 13.8kV-1kV,151200,DEC_2Y,DEC,151206,DEC_2_1,DEC,G2SY,DEC_G2SY,,,,,,,,,,,unmatched,transformer_tertiary_stub
24399,ff2fd848-9588-4a68-8781-9465f6afdcf4,Transformer,PowerTransformer,1,13Y 13.8kV-1kV,131245,QALSW_GT4,QALSW,131248,QALSW_13_1KV,QALSW,13Y,QALSW_13Y,,,,,,,,,,,unmatched,transformer_tertiary_stub
279965,ffb24017-d7e2-4ae0-9705-3cf467557ea2,Transformer,PowerTransformer,2,34T3 13.8kV-1kV,170065,LEON__LCPCT3,LEON_CRK,5271,LCPSTR34,LEON_CRK,34T3,LEON_CRK_34T3,,,,,,,,,,,unmatched,transformer_tertiary_stub
468072,fffda0dd-d7f1-4a46-8a54-b2f9b93fde98,Transformer,PowerTransformer,X3,TR3X 12.47kV-1kV,110477,FORMOSA_3,FORMOSA,111145,FORMOSA_TR3,FORMOSA,TR3X,FORMOSA_TR3X,,,,,,,,,,,unmatched,transformer_tertiary_stub
