teid,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
494966,T1,T1,CORAZONT1,CORAZONT1,2021-03-03 00:00:00,2021-03-03 00:00:00,2021-05-27 17:00:00
491423,MR1L,MR1L,QNLTPMR1L,QNLTPAXFMR1LH,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-05-25 18:00:00
508045,T2,T2,SAMSON1T2,SAMSON1T2,2021-05-05 00:00:00,2021-05-05 00:00:00,2021-05-25 13:00:00
508044,T1,T1,SAMSON1T1,SAMSON1T1,2021-05-05 00:00:00,2021-05-05 00:00:00,2021-05-25 13:00:00
508281,T1,T1,SAMSON3T1,SAMSON3T1,2021-05-05 00:00:00,2021-05-05 00:00:00,2021-05-25 13:00:00
508282,T2,T2,SAMSON3T2,SAMSON3T2,2021-05-05 00:00:00,2021-05-05 00:00:00,2021-05-25 13:00:00
502803,T1,T1,BATCAVET1,BATCAVET1,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-04-30 16:20:00
486620,T3P,T3P,LPLYHT3P,LPLYHT3P,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 17:33:00
486621,T3S,T3S,LPLYHT3S,LPLYHT3S,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 17:33:00
486655,T4S,T4S,LPLYHT4S,LPLYHT4S,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 17:33:00
486654,T4P,T4P,LPLYHT4P,LPLYHT4P,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 17:33:00
486707,T2S,T2S,LPLDBT2S,LPLDBT2S,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 16:05:00
486703,T1P,T1P,LPLDBT1P,LPLDBT1P,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 16:05:00
486706,T2P,T2P,LPLDBT2P,LPLDBT2P,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 16:05:00
486704,T1S,T1S,LPLDBT1S,LPLDBT1S,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-24 16:05:00
493860,T1,T1,GALLOWAYT1,GALLOWAYT1,2020-12-16 00:00:00,2020-12-16 00:00:00,2021-05-24 15:40:00
500355,T2,T2,TAYGETE2T2,TAYGETE2T2,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-05-06 15:20:00
500354,T1,T1,TAYGETE2T1,TAYGETE2T1,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-05-06 15:20:00
