teid,branch_id,base_model_status,implied_default_status,pct_closed,base_from_name,base_to_name,base_circuit,base_device_type,from_bus,to_bus,ckt,DeviceType,match_type
872141,60112867.0,Closed,Open,0.0,TNYELOWJKT1,BCNV2_ES_8,2,Line,TNYELOWJKT1,BCNV2_ES_8,2,Line,direct_label
872151,60112876.0,Open,Closed,0.5,HEALY_5,ERKA_SLR_5,1,Line,ERKA_SLR_5,HEALY_5,1,Line,direct_label
872153,60114468.0,Closed,Open,0.0,DUNLAYSB8,PEARSONSW8,1,Line,PEARSONSW8,DUNLAYSB8,1,Line,direct_label
873778,60114148.0,Open,Closed,1.0,RVN_8,RVN_B1,T1,Transformer,RVN_B1,RVN_8,T1,Transformer,direct_label
873787,60114163.0,Open,Closed,0.5,ODYSSEUS7A,ULYS_SLR_5,1,Line,ODYSSEUS7A,ULYS_SLR_5,1,Line,direct_label
873906,60114166.0,Open,Closed,0.5,ULYS_SLR_5,ULYS_SLR_S1,T1,Transformer,ULYS_SLR_S1,ULYS_SLR_5,T1,Transformer,direct_label
874553,60114553.0,Open,Closed,0.5,GUNR_BES_8,CLOSNER4A,1,Line,CLOSNER4A,GUNR_BES_8,1,Line,direct_label
874695,60114552.0,Open,Closed,0.5,GUNR_BES_8,GUNR_BES_B1,T1,Transformer,GUNR_BES_B1,GUNR_BES_8,T1,Transformer,direct_label
874711,60114363.0,Closed,Open,0.0,SAND_BLUFF,HONEY_WD_5,1,Line,HONEY_WD_5,SAND_BLUFF,1,Line,direct_label
875112,60114316.0,Open,Closed,0.5,PDRA_SLR_5,PATHFINDER_5,1,Line,PATHFINDER_5,PDRA_SLR_5,1,Line,direct_label
876198,60114615.0,Open,Closed,1.0,PRUITT_8,CELESTE_8,2,Line,CELESTE_8,PRUITT_8,2,Line,direct_label
877194,60114761.0,Open,Closed,1.0,ATHENA_POI_8,RVN_8,01,Line,ATHENA_POI_8,RVN_8,01,Line,direct_label
932,60000833.0,Open,Closed,1.0,BTSTARTA_9,DUCKCVT1_9,1,Line,BTSTARTA_9,DUCKCVTA_9,1,Line,direct_label
94970,60008517.0,Open,Closed,0.5,DELSOL7C,DELSOL7B,S1,Series Cap,DELSOL7B,DELSOL7C,S1,Line,direct_label
992,60000873.0,Closed,Open,0.1,GAINVL_E_T9,GAINVL1_T9,1,Line,GAINVL_E_T9,GAINVL_T9,1,Line,direct_label
998,60000876.0,Open,Closed,1.0,ST_JO_P9,MUENSTER_9,1,Line,MUENSTER_9,ST_JO_P9,1,Line,direct_label
