teid,substation,star_bus,ckt,inferred_status,source,sibling_teids,sibling_statuses,flag
354811,PHR,49147,A3,Closed,inferred_transformer_winding,354810;354809,Closed;Closed,
280006,PHR,49146,A4,Closed,inferred_transformer_winding,280005;280004,Closed;Closed,
579072,POESTA,88199,1,Closed,inferred_transformer_winding,579071;579070,Closed;Closed,
774298,PRMSW,24165,1,,,774297;774296,Open;Open,all_siblings_open
774319,PRMSW,24166,2,,,774317;774318,Open;Open,all_siblings_open
279018,PRSSW,24094,1,Closed,inferred_transformer_winding,279016;279017,Closed;Closed,
279285,PTENN,24095,1,Closed,inferred_transformer_winding,279284;279286,Closed;Closed,
491424,QNLTP,24136,1,Closed,inferred_transformer_winding,491423;491422,Closed;Closed,
503204,QRYSW,24137,1,Closed,inferred_transformer_winding,503203;503202,Closed;Closed,
503225,QRYSW,24138,2,Closed,inferred_transformer_winding,503224;503223,Closed;Closed,
410003,QUEEN_SL,134595,T1,Closed,inferred_transformer_winding,410002,Closed,
410004,QUEEN_SL,134595,T1,Closed,inferred_transformer_winding,410002,Closed,
410007,QUEEN_SL,134596,T2,Closed,inferred_transformer_winding,410005,Closed,
410006,QUEEN_SL,134596,T2,Closed,inferred_transformer_winding,410005,Closed,
720714,RCKSW,24158,1,Closed,inferred_transformer_winding,720712;720713,Closed;Closed,
720971,RCKSW,24159,2,Closed,inferred_transformer_winding,720715;720970,Closed;Closed,
279603,REDCREEK,6294,1,Closed,inferred_transformer_winding,279604;279602,Closed;Closed,
279922,REDCREEK,6768,2,Closed,inferred_transformer_winding,280342;280371,Closed;Closed,
2061,REDGATE,161036,G1,Closed,inferred_transformer_winding,1974,Closed,
1940,REDGATE,161036,G1,Closed,inferred_transformer_winding,1974,Closed,
1743,REDGATE,161037,G2,Closed,inferred_transformer_winding,1117,Closed,
1529,REDGATE,161037,G2,Closed,inferred_transformer_winding,1117,Closed,
730818,REDSW,24160,1,Closed,inferred_transformer_winding,730816;730817,Closed;Closed,
279232,RENSW,24098,1,Closed,inferred_transformer_winding,279240;279236,Closed;Closed,
280317,RENSW,24099,2,Closed,inferred_transformer_winding,280241;279951,Closed;Closed,
279513,RIOHONDO,8324,1,Closed,inferred_transformer_winding,279510;279511,Closed;Closed,
279927,RIOHONDO,80157,2,Closed,inferred_transformer_winding,280214;280129,Closed;Closed,
279263,RKCRK,24100,1,Closed,inferred_transformer_winding,279262;279265,Closed;Closed,
279025,RNKSW,24101,1,Closed,inferred_transformer_winding,279468;279024,Closed;Closed,
280271,RNKSW,24102,2,Closed,inferred_transformer_winding,280412;279920,Closed;Closed,
873271,ROCKPORT,8433,1,Closed,inferred_transformer_winding,873269;873270,Closed;Closed,
873314,ROCKPORT,80027,2,Closed,inferred_transformer_winding,873313;873312,Closed;Closed,
279105,RTW,49145,A1,Closed,inferred_transformer_winding,279365;279361,Closed;Closed,
90206,RTW,49152,A2,Closed,inferred_transformer_winding,90199;90200,Closed;Closed,
429040,RVRSW,24129,1,Closed,inferred_transformer_winding,429039;429038,Closed;Closed,
429043,RVRSW,24130,2,Closed,inferred_transformer_winding,429041;429042,Closed;Closed,
279324,SANMIGL,5904,2,Closed,inferred_transformer_winding,279323;279012,Closed;Closed,
