teid,ReasonID,BranchId,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
664626,4,,PT2H,PT2H,PHOKT02,PHOKT02,2024-03-20 17:01:00,2024-03-20 17:01:00,2024-06-07 17:00:00
664623,4,,PT1H,PT1H,PHOKT01,PHOKT01,2024-03-20 17:01:00,2024-03-20 17:01:00,2024-06-07 17:00:00
698927,4,,GIRVTP_TIERR1,GIRVTPTIERR1,GIRVSWTIERR1,GIRVSWTIERR1,2024-05-01 00:01:00,2024-05-01 00:01:00,2024-05-01 17:01:00
681223,4,,D5_S1A1,D5S1A1,D5S11,D5S11,2024-04-03 00:00:00,2024-04-03 00:00:00,2024-05-02 13:38:00
664623,4,,PT1H,PT1H,PHOKT01,PHOKT01,2023-12-01 00:00:00,2023-12-01 00:00:00,2024-03-20 17:00:00
664626,4,,PT2H,PT2H,PHOKT02,PHOKT02,2023-12-01 00:00:00,2023-12-01 00:00:00,2024-03-20 17:00:00
664629,4,,PT3H,PT3H,PHOKT03,PHOKT03,2023-12-01 00:00:00,2023-12-01 00:00:00,2024-03-20 17:00:00
657636,4,,1705_A,1705A,1805A,1805A,2023-10-25 00:00:00,2023-10-25 00:00:00,2023-12-13 16:36:00
676420,4,,T021,T021,RAILROADTR4,RAILROADRRD5TR4,2023-12-01 08:33:00,2023-12-01 08:33:00,2023-12-01 15:44:00
676419,4,,T012,T012,RAILROADTR3,RAILROADRRD5TR3,2023-12-01 08:33:00,2023-12-01 08:33:00,2023-12-01 15:44:00
676421,4,,T022,T022,RAILROADTR5,RAILROADRRD5TR5,2023-12-01 08:33:00,2023-12-01 08:33:00,2023-12-01 15:44:00
676418,4,,T011,T011,RAILROADTR2,RAILROADRRD5TR2,2023-12-01 08:33:00,2023-12-01 08:33:00,2023-12-01 15:44:00
626863,4,,MRH1,MRH1,EXPSWMR1H,EXPSWMR1H,2023-05-03 00:00:00,2023-05-03 00:00:00,2023-11-30 16:50:00
647463,4,,XF1L,XF1L,BROOKHOLXF3L,BROOKHOL1691H,2023-06-30 18:01:00,2023-06-30 18:01:00,2023-06-30 18:02:00
647462,4,,XF1H,XF1H,BROOKHOLXF3H,BROOKHOL11381H,2023-06-30 18:01:00,2023-06-30 18:01:00,2023-06-30 18:02:00
647462,4,,XF1H,XF1H,BROOKHOLXF3H,BROOKHOL11381H,2023-06-22 05:30:00,2023-06-22 05:30:00,2023-06-30 18:00:00
647463,4,,XF1L,XF1L,BROOKHOLXF3L,BROOKHOL1691H,2023-06-22 05:30:00,2023-06-22 05:30:00,2023-06-30 18:00:00
626863,4,,MRH1,MRH1,EXPSWMR1H,EXPSWMR1H,2023-05-03 00:00:00,2023-05-03 00:00:00,2023-06-30 20:00:00
647462,4,,XF1H,XF1H,BROOKHOLXF3H,BROOKHOL11381H,2023-06-21 00:00:00,2023-06-21 00:00:00,2023-06-22 05:29:00
647463,4,,XF1L,XF1L,BROOKHOLXF3L,BROOKHOL1691H,2023-06-21 00:00:00,2023-06-21 00:00:00,2023-06-22 05:29:00
619802,4,,HLJDAN01A,HLJDAN01A,DANHLJ01A,DANHLJ01,2023-03-16 17:01:00,2023-03-16 17:01:00,2023-03-22 17:00:00
613864,4,,LOC_HK_NODE1,LOCHKNODE1,LOCHKGIS1,LOCHKGIS,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-03-17 11:00:00
619802,4,,HLJDAN01A,HLJDAN01A,DANHLJ01A,DANHLJ01,2023-02-01 00:00:00,2023-02-01 00:00:00,2023-03-16 17:00:00
531749,4,,ATHEY_ELLENB11,ATHEYELLENB11,ATHEYGOMEZT11,ATHEYGOMEZT1,2022-10-20 20:01:00,2022-10-20 20:01:00,2023-03-02 16:00:00
599380,4,,69_LWT_BKY1,69LWTBKY1,69LWHBKY1,69LWHBKY,2022-11-02 00:00:00,2022-11-02 00:00:00,2022-12-21 17:24:00
598591,4,,RDW_HK_NODE1,RDWHKNODE1,RDWHKGIS1,RDWHKGIS,2022-11-02 00:00:00,2022-11-02 00:00:00,2022-12-20 13:10:00
598590,4,,BB_HK_NODE1,BBHKNODE1,BBHKGIS1,BBHKGIS,2022-11-02 00:00:00,2022-11-02 00:00:00,2022-12-20 13:10:00
531749,4,,ATHEY_ELLENB11,ATHEYELLENB11,ATHEYGOMEZT11,ATHEYGOMEZT1,2021-11-03 00:00:00,2021-11-03 00:00:00,2022-10-20 20:00:00
568409,4,,I_DUPS_RESNIK22,IDUPSRESNIK22,IDUPSRESNIK33,IDUPSRESNIK3,2022-10-18 19:01:00,2022-10-18 19:01:00,2022-10-18 20:59:00
568409,4,,I_DUPS_RESNIK22,IDUPSRESNIK22,IDUPSRESNIK33,IDUPSRESNIK3,2022-05-04 00:00:00,2022-05-04 00:00:00,2022-10-18 19:00:00
583209,4,,XFH1,XFH1,WHITEPTXF2H,WHITEPT34511H,2022-10-05 00:00:00,2022-10-05 00:00:00,2022-10-05 00:01:00
583210,4,,XFL1,XFL1,WHITEPTXF2L,WHITEPT13811H,2022-10-05 00:00:00,2022-10-05 00:00:00,2022-10-05 00:01:00
577862,4,,T2,T2,FALFURT1,FALFURT1,2022-07-01 00:00:00,2022-07-01 00:00:00,2022-09-12 08:00:00
555249,4,,T1,T1,HILONEBHILO,HILONEBHILO,2022-02-02 00:00:00,2022-02-02 00:00:00,2022-05-20 07:56:00
566537,4,,567_Z,567Z,567C,567C,2022-05-04 00:00:00,2022-05-04 00:00:00,2022-05-06 14:53:00
445748,4,,6132_B,6132B,6129B,6129B,2021-05-05 17:06:00,2021-05-05 17:06:00,2022-05-05 17:00:00
552333,4,,CIS_BSS1,CISBSS1,CKT31371,CKT31371,2022-03-01 09:56:00,2022-03-01 09:56:00,2022-04-15 17:00:00
537561,4,,T1,T1,QUEENBAROAD,QUEENBAROAD,2022-02-25 17:01:00,2022-02-25 17:01:00,2022-03-03 13:58:00
537561,4,,T1,T1,QUEENBAROAD,QUEENBAROAD,2022-02-14 17:01:00,2022-02-14 17:01:00,2022-02-25 17:00:00
552333,4,,CIS_BSS1,CISBSS1,CKT31371,CKT31371,2022-01-05 00:00:00,2022-01-05 00:00:00,2022-02-28 17:00:00
