teid,bucket,our_op_eqcode,n_candidates,candidate_names,DeviceType,FromName,ToName,Substation1,Substation2,Name
413385,station_pair_ambiguous,FOWLRTON_7TRH,3,"FOWLRTON_7TR1, FOWLRTON_5TR1, FOWLRTON_1TR1",Transformer,1,FOWLERTONSW5,FOWLRTON,FOWLRTON,7TR1 345kV-1kV
836689,absent_from_dampsse,15060__E_OldTeid,0,,Line,TREDWAY_8,KOCHTAP,WILSW,WILSW,MR1T 13.8kV-1kV
280094,station_pair_ambiguous,SANMIGL_AUTA_L,6,"SANMIGL_ATBT, SANMIGL_ATBH, SANMIGL_ATAH, SANMIGL_ATBL, SANMIGL_ATAL",Transformer,MIGUEL8,NOTMODMIDPT2,SANMIGL,SANMIGL,ATAL 138kV-1kV
280098,station_pair_ambiguous,MARSFO_64GSUT3,7,"MARSFO_SUT3, MARSFO_BUT1, MARSFO_BUT3, MARSFO_SUT2, MARSFO_AUT1",Transformer,L_MARSFO8_1Y,L_MARSFO1_2,MARSFO,MARSFO,SUT3 138kV-1kV
755662,station_pair_ambiguous,NAVALBAS_1_69_1_H,4,"NAVALBAS_NBA1, NAVALBAS_XFH1, NAVALBAS_XFL1, NAVALBAS_XFT1",Transformer,NAVALBS2A,NAVALBS0B,NAVALBAS,NAVALBAS,XFL1 69kV-1kV
717071,station_pair_ambiguous,RGRSW_AXFMR3-69,7,"RGRSW_FMR3, RGRSW_MR1H, RGRSW_MR1L, RGRSW_MR1T, RGRSW_MR2H",Transformer,RANGER_8,RANGER9,RGRSW,RGRSW,FMR3 69kV-138kV
280105,station_pair_ambiguous,MARSFO_62GSUT3,7,"MARSFO_SUT3, MARSFO_BUT1, MARSFO_BUT3, MARSFO_SUT2, MARSFO_AUT1",Transformer,L_MARSFO9_1Y,L_MARSFO1_2,MARSFO,MARSFO,AUT3 69kV-1kV
254103,station_pair_ambiguous,CLAYTNVL_6T3162H_H,6,"CLAYTNVL_162L, CLAYTNVL_162H, CLAYTNVL_162T, CLAYTNVL_157H, CLAYTNVL_157T",Transformer,CLAYTON_345,CLAYTON_1SEC,CLAYTNVL,CLAYTNVL,162H 345kV-1kV
1529,absent_from_dampsse,DISCVR_IRAAN1_1,0,,Line,,,REDGATE,REDGATE,GS2X 13.8kV-1kV
279963,station_pair_ambiguous,TXCTY_138_13_3,4,"TXCTY_13_1, TXCTY_13_4, TXCTY_13_2, TXCTY_13_3",Transformer,TXCTY_1_8,TXCTY_CTA,TXCTY,TXCTY,13_3 13.8kV-138kV
715154,station_pair_ambiguous,NAISMITH_1_345_1_HS,6,"NAISMITH_XF1H, NAISMITH_XF1L, NAISMITH_XF1T, NAISMITH_XF2H, NAISMITH_XF2L",Transformer,NAISMITH7A,NAISMITH0C,NAISMITH,NAISMITH,XF1H 345kV-1kV
715161,station_pair_ambiguous,NAISMITH_1_138_1_HS,6,"NAISMITH_XF1H, NAISMITH_XF1L, NAISMITH_XF1T, NAISMITH_XF2H, NAISMITH_XF2L",Transformer,NAISMITH4A,NAISMITH0C,NAISMITH,NAISMITH,XF1L 138kV-1kV
763013,station_pair_ambiguous,PAINTCRE_1_138_1_H,4,"PAINTCRE_69-2, PAINTCRE_XFH1, PAINTCRE_XFL1, PAINTCRE_XFT1",Transformer,PC1DUM,PAINTCRE4A,PAINTCRE,PAINTCRE,XFH1 138kV-1kV
