teid,branch_id,n_snapshots,n_status_rows,n_closed,n_open,pct_closed,default_status_majority,review_flag
150,60003324,20,20,20,0,1.0,Closed,clear_majority
153,60004331,20,20,18,2,0.9,Closed,clear_majority
157,60002698,20,20,20,0,1.0,Closed,clear_majority
158,60002685,20,20,20,0,1.0,Closed,clear_majority
159,60002700,20,20,20,0,1.0,Closed,clear_majority
160,60004758,20,20,20,0,1.0,Closed,clear_majority
161,60002717,20,20,20,0,1.0,Closed,clear_majority
162,60011504,20,20,20,0,1.0,Closed,clear_majority
163,60002719,20,20,20,0,1.0,Closed,clear_majority
164,60002721,20,20,20,0,1.0,Closed,clear_majority
167,60002396,20,20,20,0,1.0,Closed,clear_majority
168,60002397,20,20,20,0,1.0,Closed,clear_majority
171,60002446,20,20,20,0,1.0,Closed,clear_majority
172,60002447,20,20,20,0,1.0,Closed,clear_majority
173,60002449,3,3,3,0,1.0,Closed,clear_majority
175,60000034,20,20,20,0,1.0,Closed,clear_majority
176,60000035,19,19,18,1,0.947,Closed,clear_majority
177,60000036,20,20,20,0,1.0,Closed,clear_majority
178,60000037,20,20,20,0,1.0,Closed,clear_majority
179,60000038,20,20,20,0,1.0,Closed,clear_majority
182,60011492,20,20,0,20,0.0,Open,clear_majority
184,60002404,20,20,20,0,1.0,Closed,clear_majority
185,60002451,20,20,20,0,1.0,Closed,clear_majority
187,60002453,20,20,20,0,1.0,Closed,clear_majority
188,60002405,20,20,20,0,1.0,Closed,clear_majority
189,60002406,20,20,20,0,1.0,Closed,clear_majority
190,60002407,20,20,20,0,1.0,Closed,clear_majority
191,60002408,20,20,20,0,1.0,Closed,clear_majority
193,60005283,20,20,19,1,0.95,Closed,clear_majority
194,60002411,3,3,3,0,1.0,Closed,clear_majority
196,60002361,20,20,20,0,1.0,Closed,clear_majority
201,60002413,20,20,20,0,1.0,Closed,clear_majority
202,60002414,20,20,20,0,1.0,Closed,clear_majority
203,60002304,20,20,20,0,1.0,Closed,clear_majority
204,60002307,20,20,20,0,1.0,Closed,clear_majority
210,60002465,20,20,20,0,1.0,Closed,clear_majority
211,60002466,5,5,0,5,0.0,Open,clear_majority
214,60003391,19,19,19,0,1.0,Closed,clear_majority
215,60005425,20,20,20,0,1.0,Closed,clear_majority
216,60007034,20,20,20,0,1.0,Closed,clear_majority
217,60004468,20,20,20,0,1.0,Closed,clear_majority
219,60004464,20,20,20,0,1.0,Closed,clear_majority
220,60005444,20,20,20,0,1.0,Closed,clear_majority
221,60002339,20,20,20,0,1.0,Closed,clear_majority
222,60002334,20,20,20,0,1.0,Closed,clear_majority
223,60002336,20,20,20,0,1.0,Closed,clear_majority
224,60002340,20,20,20,0,1.0,Closed,clear_majority
225,60002415,20,20,20,0,1.0,Closed,clear_majority
229,60000019,20,20,20,0,1.0,Closed,clear_majority
230,60003800,20,20,20,0,1.0,Closed,clear_majority
232,60002342,20,20,18,2,0.9,Closed,clear_majority
233,60002343,20,20,20,0,1.0,Closed,clear_majority
234,60002349,20,20,20,0,1.0,Closed,clear_majority
235,60002350,20,20,20,0,1.0,Closed,clear_majority
236,60002351,20,20,20,0,1.0,Closed,clear_majority
237,60002352,20,20,20,0,1.0,Closed,clear_majority
245,60002324,20,20,20,0,1.0,Closed,clear_majority
248,60002499,20,20,20,0,1.0,Closed,clear_majority
249,60002500,20,20,20,0,1.0,Closed,clear_majority
251,60002502,20,20,20,0,1.0,Closed,clear_majority
254,60002417,20,20,20,0,1.0,Closed,clear_majority
255,60002418,20,20,20,0,1.0,Closed,clear_majority
257,60002505,20,20,20,0,1.0,Closed,clear_majority
259,60006609,20,20,20,0,1.0,Closed,clear_majority
260,60000284,20,20,20,0,1.0,Closed,clear_majority
264,60002561,20,20,20,0,1.0,Closed,clear_majority
266,60000139,20,20,20,0,1.0,Closed,clear_majority
267,60011027,20,20,20,0,1.0,Closed,clear_majority
268,60000133,20,20,20,0,1.0,Closed,clear_majority
269,60000281,20,20,20,0,1.0,Closed,clear_majority
270,60000361,20,20,20,0,1.0,Closed,clear_majority
271,60000407,20,20,20,0,1.0,Closed,clear_majority
272,60004739,20,20,20,0,1.0,Closed,clear_majority
274,60000480,20,20,20,0,1.0,Closed,clear_majority
275,60000526,20,20,20,0,1.0,Closed,clear_majority
278,60002603,20,20,20,0,1.0,Closed,clear_majority
279,60002602,20,20,20,0,1.0,Closed,clear_majority
280,60002612,17,17,17,0,1.0,Closed,clear_majority
281,60002770,20,20,20,0,1.0,Closed,clear_majority
282,60004458,20,20,20,0,1.0,Closed,clear_majority
283,60004460,20,20,20,0,1.0,Closed,clear_majority
284,60004461,20,20,20,0,1.0,Closed,clear_majority
285,60000011,20,20,20,0,1.0,Closed,clear_majority
286,60000716,20,20,20,0,1.0,Closed,clear_majority
287,60002870,20,20,20,0,1.0,Closed,clear_majority
288,60002871,20,20,20,0,1.0,Closed,clear_majority
291,60002924,20,20,20,0,1.0,Closed,clear_majority
292,60002978,20,20,20,0,1.0,Closed,clear_majority
293,60005823,20,20,20,0,1.0,Closed,clear_majority
294,60003129,20,20,20,0,1.0,Closed,clear_majority
295,60003195,20,20,20,0,1.0,Closed,clear_majority
296,60003248,20,20,20,0,1.0,Closed,clear_majority
297,60003256,20,20,20,0,1.0,Closed,clear_majority
298,60008875,20,20,20,0,1.0,Closed,clear_majority
299,60003306,20,20,20,0,1.0,Closed,clear_majority
300,60003307,20,20,20,0,1.0,Closed,clear_majority
301,60003346,20,20,20,0,1.0,Closed,clear_majority
304,60003410,20,20,20,0,1.0,Closed,clear_majority
305,60003411,20,20,20,0,1.0,Closed,clear_majority
306,60003432,20,20,20,0,1.0,Closed,clear_majority
307,60003442,20,20,20,0,1.0,Closed,clear_majority
308,60003443,20,20,20,0,1.0,Closed,clear_majority
309,60003445,20,20,20,0,1.0,Closed,clear_majority
310,60003453,20,20,20,0,1.0,Closed,clear_majority
311,60003455,20,20,20,0,1.0,Closed,clear_majority
312,60003456,20,20,20,0,1.0,Closed,clear_majority
313,60003457,20,20,20,0,1.0,Closed,clear_majority
314,60002179,20,20,20,0,1.0,Closed,clear_majority
315,60002181,20,20,20,0,1.0,Closed,clear_majority
316,60011481,20,20,20,0,1.0,Closed,clear_majority
318,60003801,20,20,20,0,1.0,Closed,clear_majority
319,60006811,20,20,20,0,1.0,Closed,clear_majority
320,60003496,20,20,20,0,1.0,Closed,clear_majority
