teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_agrees,fuzzy_ratio,is_high_side
5357,b41db1ab-4045-4d76-a904-15093ddd8b37,Branch,ACLineSegment,1,690__L _L 1 138kV,3163,DCVERC_8,ASETP,3169,IRONBRG_8,IRBRG,_L,690__L,60002491.0,690_L,,,1,Line,DCVERC_8,IRONBRG_8,690__L,_L,matched,True,0.0,False
363140,b41f41dc-4efe-4466-8fb1-cd3de3734a9b,Branch,ACLineSegment,1,BIGLAK_OWLS1_1 1 1 138kV,6536,BIGLAKE4B,BIGLAKE,60414,OWLS4A,OWLS,1,BIGLAK_OWLS1_1,60009619.0,BIGLAK_OWLS11,,,1,Line,BIGLAKE4B,OWLS4A,BIGLAK_OWLS1_1,1,matched,True,0.0,False
373506,b421598e-18d6-49a9-a4c9-790fa418a544,Branch,ACLineSegment,1,1 1 138kV,38121,TNBLNGLEAT1,BLNGSLET,38124,TNFAULKNER1,FAULKNER,1,138_BLT_FLK_1,60010321.0,138_BLT_FLK1,,,1,Line,TNBLNGLEAT1,TNFAULKNER1,138_BLT_FLK_1,1,matched,True,0.0,False
3661,b42786d4-f5cc-4487-8a0d-ec639aa52e40,Branch,ACLineSegment,1,BIG_BRUN_1 1 1 69kV,5868,BIGWELLSSUB9,BIGWELS,5870,BRUNDAGESUB9,BRUNDGS,1,BIG_BRUN_1,60003330.0,BIG_BRUN1,,,1,Line,BRUNDAGESUB9,BIGWELLSSUB9,BIG_BRUN_1,1,matched,True,0.0,False
100453,b42dc551-6b5d-4976-96fa-1ddfb9567e24,Branch,ACLineSegment,1,618T618_1 1 1 138kV,7602,L_STMEIN8_1Y,SMI,7604,L_GERONI8_1Y,GERONI,1,618T618_1,60008114.0,618T6181,,,1,Line,L_STMEIN8_1Y,L_GERONI8_1Y,618T618_1,1,matched,True,0.0,False
2821,b4332091-7079-4671-8dd4-037cf1744ca3,Branch,ACLineSegment,21,DE_UW_21_A A 21 138kV,48084,DEERPK21TP_8,DE,48389,UNDRWD21TP_8,UW,A,DE_UW_21_A,60004256.0,DE_UW_21A,,,21,Line,DEERPK21TP_8,UNDRWD21TP_8,DE_UW_21_A,A,matched,True,0.0,False
668084,b439d7a9-fc37-4086-8f2b-a9973c603e49,Branch,ACLineSegment,2,1025_B _B 2 138kV,3443,MCLANE_8,MCLSW,3708,FROW_8,FROWS,_B,1025__B,60078161.0,1025_B,,,2,Line,FROW_8,MCLANE_8,1025__B,_B,matched,True,0.0,False
826643,b4421ffe-340c-4f89-bbc5-91554b8b4b82,Branch,ACLineSegment,1,CKT_1037_1 1 1 138kV,9077,MCNEIL_MB3,MCNEIL,9276,KRAMER,KRAMER,1,CKT_1037_1,60101282.0,CKT_1037,,,1,Line,MCNEIL_MB3,KRAMER,CKT_1037_1,1,matched,True,0.0,False
402962,b44ef055-0e5f-4d36-91bf-888fa929cae4,Branch,ACLineSegment,1,HEARTL_YELWJC1_1 1 1 69kV,6363,YELWJCKT2A,YELWJCKT,60386,HEARTLAN2A,HEARTLAN,1,HEARTL_YELWJC1_1,60010218.0,HEARTL_YELWJC11,,,1,Line,YELWJCKT2A,HEARTLAN2A,HEARTL_YELWJC1_1,1,matched,True,0.0,False
3663,b458c51d-8f32-4790-b0fd-78193f276c9a,Branch,ACLineSegment,1,232T179_1 1 1 138kV,7349,L_LAKEAE8_1Y,LAKEWAY,7356,L_MARSFO8_1Y,MARSFO,1,232T179_1,60000930.0,232T1791,,,1,Line,L_LAKEAE8_1Y,L_MARSFO8_1Y,232T179_1,1,matched,True,0.0,False
757324,b459ecd9-965a-4fe9-b903-882d4eeeae30,Branch,ACLineSegment,1,213_A _A 1 345kV,2478,ROYSE_S5,RYSSW,153842,SMTH_ESS_5,SMTH_ESS,_A,213__A,60098228.0,213,,,1,Line,ROYSE_S5,SMTH_ESS_5,213__A,_A,matched,True,0.0,False
308669,b469ee4d-91f1-4125-8def-ce7d94a90de1,Branch,ACLineSegment,1,138_TPS_TPP_1 1 1 138kV,38377,TNTRANPEC_1,TPECOS,38379,TNTRANPECP1,TPECOSPL,1,138_TPS_TPP_1,60008742.0,138_TPS_TPP1,,,1,Line,TNTRANPEC_1,TNTRANPECP1,138_TPS_TPP_1,1,matched,True,0.0,False
4116,b46abda2-139a-48db-ba15-b4c36b77956f,Branch,ACLineSegment,1,SND_SND_1 1 1 138kV,443,SANDFLATSW,SNDFLTSW,447,SANDFLAT,SND,1,SND_SND_1,60007276.0,SND_SND1,,,1,Line,SANDFLATSW,SANDFLAT,SND_SND_1,1,matched,True,0.0,False
2651,b46aed72-65dd-4b14-942b-d43844e1bbfe,Branch,ACLineSegment,1,1140_A _A 1 138kV,11923,LIGSWSR2_8,LIGSW,15002,RENTALC_8,RENTL,_A,1140__A,60000144.0,1140_A,,,1,Line,LIGSWSR2_8,DFW_DE2T1_8,1140__A,_A,matched,True,0.0,False
773744,b473acc5-fd44-4ee5-8dd8-6da6fbac41d5,Branch,ACLineSegment,1,ANGSTR_PIN_BE1_1 1 1 345kV,8249,ANGSTRM7A,ANGSTROM,164362,PIN_BESS_5,PIN_BESS,1,ANGSTR_PIN_BE1_1,60098642.0,ANGSTR_PIN_BE1,,,1,Line,ANGSTRM7A,PIN_BESS_5,ANGSTR_PIN_BE1_1,1,matched,True,0.0,False
402816,b47618d8-42a0-4a3d-8522-8c53d401f7c3,Branch,ACLineSegment,1,KW2_TIE_1 1 1 345kV,88607,WLDRPOI7A,GODDARD,162053,KNKWA2_5,KARAKAW2,1,KW2_TIE_1,60010498.0,KW2_TIE1,,,1,Line,WLDRPOI7A,KNKWA2_5,KW2_TIE_1,1,matched,True,0.0,False
1604,b47afb28-3f00-406d-b9a0-204fc6c82b15,Branch,ACLineSegment,1,KINGRN_STRATT1_1 1 1 138kV,8514,STRATTON4A,STRATTON,80228,KRGP4A,KINGRNCH,1,KINGRN_STRATT1_1,60005634.0,KINGRN_STRATT11,,,1,Line,STRATTON4A,KRGP4A,KINGRN_STRATT1_1,1,duplicate_resolved_by_opeqcode,True,0.0,False
1769,b47c59fa-794f-47f2-8fe4-f38a6051ff44,Branch,ACLineSegment,1,536__D _D 1 138kV,2547,MCKNY_SW2_8,MKNSW,2561,MCKNYWHT_T8,MCWTP,_D,536__D,60001662.0,536_D,,,1,Line,MCKNY_SW2_8,MCKNYWHT_T8,536__D,_D,matched,True,0.0,False
