rank,inr,project,mw,months_to_cod,paper_score,decision,priority,already_deep_scanned
405,24INR0126,High Noon Storage,94.0,21.68,38,deep_candidate,4.34,False
406,24INR0496,Indigo Storage,60.0,13.95,20,deep_candidate,4.3,False
407,26INR0574,Apple BESS,9.9,2.53,10,deep_candidate,3.91,False
408,25INR0227,SERENGETI SOLAR,76.18,21.05,8,deep_candidate,3.62,False
409,24INR0502,Medina City BESS,9.99,2.86,20,deep_candidate,3.49,False
410,26INR0313,Edens Solar,70.75,20.69,6,deep_candidate,3.42,False
411,28INR0048,Findley BESS,51.74,17.43,10,deep_candidate,2.97,False
412,23INR0548,Leakey BESS,9.9,3.62,10,deep_candidate,2.73,False
413,25INR0601,East Bernard BESS,9.5,3.52,10,deep_candidate,2.7,False
414,25INR0604,Pledger BESS,9.5,3.52,10,deep_candidate,2.7,False
415,25INR0071,Albatross BESS,50.4,19.14,0,deep_candidate,2.63,False
416,22INR0426,LUBIO SOLAR,54.47,21.05,30,deep_candidate,2.59,False
417,25INR0768,Stafford Hill BESS,9.9,3.85,10,deep_candidate,2.57,False
418,26INR0702,Bexar Martinez BESS,9.99,3.95,20,deep_candidate,2.53,False
419,25INR0769,Kleimann BESS,9.9,4.38,20,deep_candidate,2.26,False
420,21INR0029,Red Holly Storage 1,50.0,22.37,38,deep_candidate,2.24,False
421,21INR0033,Red Holly Storage,50.0,22.37,40,deep_candidate,2.24,False
422,25INR0711,Coyanosa Gas,9.9,4.93,20,deep_candidate,2.01,False
423,26INR0345,NET Power Demonstration plant,25.5,13.06,6,deep_candidate,1.95,False
424,18INR0069,Indian Mesa repower,9.3,5.39,40,deep_candidate,1.73,False
425,25INR0583,Shannon Wind Repower,18.52,13.88,20,deep_candidate,1.33,False
426,25INR0439,Stephens Ranch Wind Repower ,12.4,14.41,30,deep_candidate,0.86,False
427,23INR0603,Damon BESS 2,9.99,13.06,28,deep_candidate,0.76,False
428,27INR0392,Cernan BESS,10.04,14.41,10,deep_candidate,0.7,False
429,24INR0627,Champion Wind Repower,0.31,0.39,10,deep_candidate,0.31,False
430,26INR0726,Roadrunner Crossing Wind (Uprate),2.7,11.35,16,deep_candidate,0.24,False
431,18INR0079,Woodward I repower,0.0,5.39,40,deep_candidate,0.0,False
432,18INR0080,Woodward 2 repower,0.0,5.39,40,deep_candidate,0.0,False
433,19INR0174,Elbow Creek repower,0.0,8.36,40,deep_candidate,0.0,False
434,23INR0392,Honeycomb Storage SLF,0.0,3.26,44,deep_candidate,0.0,False
435,24INR0066,Keys Hollow Storage Phase II SLF,0.0,19.7,20,deep_candidate,0.0,False
436,24INR0068,KEYS HOLLOW STORAGE SLF,0.0,19.7,20,deep_candidate,0.0,False
437,24INR0271,Bar Candela Storage SLF,0.0,17.4,20,deep_candidate,0.0,False
438,24INR0340,Mystic Springs Renewable Energy Storage SLF,0.0,20.39,18,deep_candidate,0.0,False
439,25INR0311,RIVERBEND STORAGE SLF,0.0,17.4,28,deep_candidate,0.0,False
440,25INR0341,Rosebud Storage SLF,0.0,17.89,20,deep_candidate,0.0,False
441,25INR0506,Lazy Frog Storage SLF,0.0,20.95,16,deep_candidate,0.0,False
442,25INR0616,Bobcat Bluff Storage SLF,0.0,8.85,10,deep_candidate,0.0,False
443,26INR0131,Elm Flats Storage SLF,0.0,14.38,26,deep_candidate,0.0,False
444,26INR0389,AGGIE STORAGE PROJECT SLF,0.0,16.38,26,deep_candidate,0.0,False
445,26INR0718,PHOTON SOLAR REPOWERING,0.0,12.93,15,deep_candidate,0.0,False
446,24INR0372,GIGA AUSTIN SOLAR,-53.3,7.8,30,deep_candidate,-6.83,False
447,20INR0019,Trinity Hills Wind repower,-27.0,-0.53,30,deep_candidate,-27.0,False
