Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
24INR0118,Possum Kingdom Solar,"SS Completed, FIS Completed, IA","PK Solar, LLC",Tap 345kV 1421 Willow Creek Switch – 11523 Thomas Price,Jack,NORTH,2027-10-29 00:00:00,SOL,PV,262.22,,2022-06-02 00:00:00,2021-09-13 00:00:00,2021-11-29 00:00:00,2022-05-23 00:00:00,2025-03-18 00:00:00,No,2025-07-25 00:00:00,Yes,Not Required,Not Required,Not Required,2026-06-09 00:00:00,,,2025-05-01 00:00:00,2026-05-08 00:00:00,,,
24INR0375,Possum Kingdom BESS,"SS Completed, FIS Completed, IA","PK Solar, LLC",Tap 345kV 1421 Willow Creek – 11523 Thomas Price,Jack,NORTH,2027-10-29 00:00:00,OTH,BA,200.86,,2023-05-31 00:00:00,2022-09-02 00:00:00,2022-11-29 00:00:00,2023-05-25 00:00:00,2025-03-18 00:00:00,No,2025-07-30 00:00:00,Yes,Not Required,Not Required,,2026-06-09 00:00:00,,,2025-05-01 00:00:00,2026-05-08 00:00:00,,,
